arm,cluster,size,mean_1mF_median,depth_mean_median,saturated_frac_median,total_ew_median,line_count_median,A6_energy_median,mean_1mF_iqr,depth_mean_iqr,saturated_frac_iqr,total_ew_iqr,line_count_iqr,A6_energy_iqr
raw_summary,0,35285,0.019272419774614268,0.037820118399916766,0.0,0.5532528400986924,52.0,4.307492237964883,0.013494067520820085,0.018917542305790756,0.0,0.3876110368582163,7.0,8.058809983039447
raw_summary,1,30,0.7937677087978152,0.9810026552460754,0.559814453125,22.807418906376995,86.5,1381.586258331656,0.22513032133103372,0.03896807770696664,0.4345703125,6.4980969343177115,50.75,647.6343022227463
raw_summary,2,24431,0.01324200809716317,0.03416891091753273,0.0,0.3799724569034568,40.0,2.2464409609510643,0.01121073599431457,0.022992605703027157,0.0,0.3219454380591338,9.0,5.5908512600097025
raw_summary,3,134,0.23556836074122806,0.5933821350456439,0.1123046875,6.756570517315807,42.0,300.7218911158237,0.1552763179269207,0.2515405101300546,0.084228515625,4.446183167086141,15.0,236.99622994863873
raw_summary,4,5656,0.04856559500494462,0.08622997311261171,0.017578125,1.3935722695884678,49.0,35.67296185314539,0.014303922910039076,0.07446772989026755,0.01220703125,0.4114834490819881,11.0,21.090104638350294
wavelet,0,32206,0.016802507912226018,0.03666159449727824,0.0,0.4823803586956791,48.0,3.508296616611135,0.014822443525065017,0.023011439438908682,0.0,0.42529072803835133,11.0,8.592488735006617
wavelet,1,68,0.5322420168337973,0.9002127773930872,0.30224609375,15.252947235616979,58.5,786.6045384850104,0.35277234071590957,0.15908427127890634,0.3155517578125,10.132978712031342,34.5,742.698334628011
wavelet,2,28265,0.018309543558416422,0.038874260330134434,0.0,0.5256490332147008,48.0,4.204071967933019,0.01592138615678889,0.023814993391733673,0.00244140625,0.45692249747283464,11.0,10.048633039250202
wavelet,3,3100,0.024449426360889256,0.04841542687229505,0.0,0.7031144479944553,50.0,8.3188985426013,0.019778169792943782,0.028444677464525413,0.00927734375,0.5679550314631197,10.0,16.914700766903355
wavelet,4,1897,0.02444139944001679,0.04706579106474769,0.0,0.7028869410219085,50.0,7.870427037272467,0.01932662928665042,0.027268638779659495,0.0087890625,0.555962725499576,12.0,16.57435291138746
