perm_id,balanced_acc
0,0.3589870905653771
1,0.31630980063917813
2,0.3093106334140937
3,0.31942094361036955
4,0.31018097565732583
5,0.30631762854105343
6,0.31042278335552725
7,0.35160221412295545
8,0.3043230789635581
9,0.32197848501534854
10,0.3032180815390184
11,0.3314067932930976
12,0.36213984384161196
13,0.31594162352885735
14,0.35472901715800986
15,0.280477755970383
16,0.3494466313042904
17,0.32155106135545075
18,0.3677933303711306
19,0.3702100552603264
20,0.3194782288388579
21,0.3457944860121349
22,0.35752090809336123
23,0.2893807801163662
24,0.33630794123661684
25,0.3399647469487378
26,0.33728654804783764
27,0.3302482172422989
28,0.3776089977996604
29,0.29117948717538744
30,0.3177602104339744
31,0.33726395816729815
32,0.32342693469470407
33,0.30174018061352104
34,0.35787900094467473
35,0.2858996605425641
36,0.32141809726518705
37,0.3619170946428746
38,0.3516691768831291
39,0.31961513424442506
40,0.38601822303020517
41,0.34592983867017724
42,0.32361074814463553
43,0.31283211664882765
44,0.3517790214929434
45,0.32268657016719443
46,0.3492752465207275
47,0.3179430946772822
48,0.32840848395875505
49,0.3296801522633025
50,0.3253569153352097
51,0.34253428189981155
52,0.3365874371977561
53,0.37151768014827913
54,0.3103132244990727
55,0.3413622719659791
56,0.31359581655964774
57,0.31301541443156095
58,0.31159495384255265
59,0.35556890354722254
60,0.3541655240216343
61,0.34156888336828695
62,0.2844580879045123
63,0.34981184579809826
64,0.3449140709246802
65,0.30714178593477287
66,0.3502784538838323
67,0.31460866406070936
68,0.3137597002914462
69,0.32506174476398353
70,0.35551533624627757
71,0.3133193362907586
72,0.3416934194336172
73,0.30392455418164116
74,0.3412861680386018
75,0.3543414541903155
76,0.36114476765453724
77,0.35149736867420184
78,0.3122467925457516
79,0.34130353264862
80,0.3559427878586643
81,0.3076260899571691
82,0.34452362753181554
83,0.29567046102609595
84,0.3350034381685039
85,0.31175237302411557
86,0.3488540540650599
87,0.35462672172500237
88,0.3495213827367031
89,0.31513425512165943
90,0.3389715576558999
91,0.33729337373949136
92,0.342667342370237
93,0.344973142149677
94,0.3381814252535337
95,0.31391473847643325
96,0.3170048170114435
97,0.329299488720549
98,0.3436254877018493
99,0.3850093862855673
100,0.30077232579306235
101,0.34421258462107407
102,0.36483997993777617
103,0.3375797276027421
104,0.29475212084789826
105,0.3322354720646029
106,0.3664131435833914
107,0.357569084358636
108,0.32746007818830536
109,0.35853197816140964
110,0.3246595738231053
111,0.3512203423773689
112,0.36260427922336297
113,0.365776907256948
114,0.3298180813584654
115,0.3275885648418125
116,0.3050793532612674
117,0.3382091797575032
118,0.3615400081172137
119,0.35148824942292667
120,0.3293689457011314
121,0.3221482110738217
122,0.32172351097253027
123,0.35195435614789317
124,0.3277769376426124
125,0.33107724496510493
126,0.3117487392760365
127,0.3418787993724693
128,0.32622844281507435
129,0.3170313729360589
130,0.3455191862142565
131,0.3356984078629398
132,0.3352663273727889
133,0.32845247061346533
134,0.32859469209242764
135,0.3203416138454804
136,0.342924753702159
137,0.29525344624039956
138,0.3311655203119651
139,0.32500001133737055
140,0.3154562564206753
141,0.32199538910914244
142,0.374386754597546
143,0.3339761181747818
144,0.3501913451872392
145,0.360520922097422
146,0.33294668694226937
147,0.3473004971402575
148,0.41808968135131586
149,0.3463662814555074
150,0.32551423192822326
151,0.29728410162993557
152,0.3932345078110734
153,0.33461961334689605
154,0.3243452129734706
155,0.3388809514232783
156,0.33296076187112517
157,0.30808566880773774
158,0.31374756073230087
159,0.36130026424526124
160,0.31804969420107126
161,0.3187210304681765
162,0.3625820727182386
163,0.31061393172911345
164,0.3433398374618958
165,0.3163269699333524
166,0.37967413101864084
167,0.3531251432656294
168,0.34711692600773225
169,0.3307045514178409
170,0.321169768663453
171,0.345003071792778
172,0.3400646714286616
173,0.3550392693591745
174,0.34332929069922785
175,0.3386398540684629
176,0.30266002582245893
177,0.3610006043806676
178,0.31930739264744323
179,0.33965038508605316
180,0.32663347310474944
181,0.3269537296476589
182,0.37854671017943214
183,0.38505407469958397
184,0.3113324583857876
185,0.3096104783166019
186,0.36021841521409953
187,0.3453409309448272
188,0.3646243329526743
189,0.33366897156396813
190,0.32030134051547804
191,0.2995388586907568
192,0.3010933659896921
193,0.3429625866916788
194,0.3192791646687658
195,0.32125845140602627
196,0.35469887269239603
197,0.37447492427866225
198,0.3551309086179747
199,0.3380482105000818
200,0.33606872599063814
201,0.32402216054401395
202,0.354362082101475
203,0.31829253968785226
204,0.274543917810247
205,0.3225793676182921
206,0.32656024729237026
207,0.33429124192293014
208,0.32010088093143996
209,0.33404758644566046
210,0.337473192540901
211,0.34711387511450587
212,0.3250834293124985
213,0.3220977188752441
214,0.3144469431079122
215,0.3330257834406082
216,0.343426108766374
217,0.35423052562638235
218,0.3395436729896157
219,0.37088713154203823
220,0.31554857796875546
221,0.3159181280415088
222,0.3561588265150709
223,0.378024826404067
224,0.34978670568989917
225,0.34734855377698415
226,0.3371623450714586
227,0.3103657974268462
228,0.3328195110365339
229,0.3235810722917933
230,0.34195672148875145
231,0.32433849059235187
232,0.3407607723736217
233,0.36283114967950136
234,0.3505727477001551
235,0.32158570618727184
236,0.3021670932369918
237,0.3575567587886498
238,0.3362812082957749
239,0.32649814593077
240,0.3313406082010427
241,0.30745611204961665
242,0.33995660045499126
243,0.3522292804258844
244,0.3359937598734966
245,0.2853547061821237
246,0.34148490108621365
247,0.34028261981625596
248,0.34865317542213564
249,0.3079050279803247
250,0.3375280520416928
251,0.3391519870722582
252,0.34846770996236087
253,0.3342190863106192
254,0.3263276130897723
255,0.3851493523259317
256,0.31266267442319834
257,0.30580217907264007
258,0.3481279763708185
259,0.3215678718241129
260,0.3165192207847757
261,0.3013070875217051
262,0.3151373288973586
263,0.3072451368322226
264,0.32286923600364964
265,0.35084054968429296
266,0.3288489513982923
267,0.3259529426012276
268,0.3126507917656696
269,0.32811300962217615
270,0.3387375524524824
271,0.31146633012146097
272,0.34636043775440095
273,0.32970161261118613
274,0.3514494355867978
275,0.3178837946288054
276,0.3425246958468394
277,0.3307354535189676
278,0.30633456013796134
279,0.294714937859979
280,0.33413018938581496
281,0.34549847771905207
282,0.3274315647368286
283,0.29431110847839353
284,0.31501110975171165
285,0.3272101356349058
286,0.3797772298808414
287,0.33966132729118015
288,0.3305940046905384
289,0.3281800088816816
290,0.34214200721991955
291,0.3159594442798033
292,0.3556257276052309
293,0.33164843515908526
294,0.3706399040682256
295,0.3407851455585191
296,0.3138230107305207
297,0.2954351087905051
298,0.2824826453475907
299,0.35944425296087534
300,0.3394365081235984
301,0.3306804801729434
302,0.32900323162074674
303,0.3297669609851237
304,0.31732096860287196
305,0.3158973251479519
306,0.29568485452190774
307,0.33669494709527825
308,0.3233895191690819
309,0.31048319060129353
310,0.30441937643894557
311,0.3186207827186963
312,0.3690011867995061
313,0.3135523185594622
314,0.3225480516494452
315,0.323975612665918
316,0.3300120127339662
317,0.2972438228004038
318,0.3839290044207902
319,0.35926930788487177
320,0.3049412761256722
321,0.3356239654479546
322,0.32988990513833416
323,0.34550528878332587
324,0.3401197533976024
325,0.33330342801406054
326,0.3281246896293767
327,0.3259168590343428
328,0.3466508729824947
329,0.3200972541564016
330,0.3293925129526302
331,0.2751311113214061
332,0.3584191307496686
333,0.33039151383161075
334,0.3392359186742161
335,0.3336491571148308
336,0.32459056661185864
337,0.34968957987381966
338,0.30858615293680985
339,0.3516599826566794
340,0.3278604659980785
341,0.3297670276915424
342,0.33714732753518023
343,0.3159735925283249
344,0.3265171498806172
345,0.3394753858774867
346,0.3392064553917818
347,0.322830765881263
