orig_index,mean_flux,line_density,depth_mean,depth_std,depth_max,ew_mean,ew_std,gap_std,total_ew,gap_mean,confusability_entropy,confusability_margin
15725,0.9905364610817411,0.028334147532975085,0.02449141307792088,0.04713372687402876,0.21174533142794727,0.33412835909166166,0.6417882751391636,20.035809739040893,19.379444827316377,34.92982456140351,1.2539280910355826,0.9987805932005711
9467,0.991667045017677,0.032730825598436736,0.01758292931222613,0.050136300364705705,0.3832426587557176,0.2546803582094026,0.7247362816413256,22.794990025177327,17.063584000029973,30.454545454545453,1.2539280910355826,0.9987805932005711
46889,0.9659621391090647,0.02882266731802638,0.06399364195700039,0.15261351693504868,0.8372898718567776,1.1812087680055123,2.9194803095765525,25.15067554521149,69.69131731232522,34.827586206896555,1.2539280910355826,0.9987805932005711
44329,0.964136186136832,0.02784562774792379,0.0614827378261459,0.1356567519043868,0.6025024742108508,1.2882854129359793,3.3740509779520083,24.082421186502028,73.43226853735081,35.535714285714285,1.3521330522778328,0.8583211491182632
41055,0.9668886390713345,0.0268685881778212,0.05715221507311172,0.147888454956629,0.7669082189395462,1.2329407674610144,4.054852818403407,21.03929467541527,67.81174221035579,36.574074074074076,1.291843024199208,0.9996742383971334
61423,0.9905180242452243,0.02051783097215437,0.020056304401576765,0.08000032325061765,0.5180194304516451,0.46232146397972446,2.1134222969889205,32.84495692974547,19.417501487148428,48.80487804878049,1.2539280910355826,0.9987805932005711
25964,0.9791545555658913,0.029311187103077674,0.04243355097387378,0.11535680439496596,0.6570856612870365,0.7112043500149283,2.2892350318117334,19.231022648762277,42.6722610008957,33.71186440677966,1.2539280910355826,0.9987805932005711
56009,0.9904076470761022,0.015144113336590131,0.01815820880369326,0.04095838078159937,0.18396137208948993,0.6336553739080071,1.7736231931344821,61.446173373304724,19.64331659114822,67.03333333333333,0.18832165722083882,0.050030776151653855
9474,0.9693852867577595,0.025891548607718612,0.04661612062310605,0.1322910869090273,0.6761481879896553,1.182991397474459,4.529238784339955,21.681692369915883,62.69854406614632,37.51923076923077,1.2539280910355826,0.9987805932005711
63564,0.9853447319172886,0.02051783097215437,0.03296230734068708,0.06892424432654722,0.3961550580313621,0.7146088524117948,1.3716948823591655,29.056817302774327,30.013571801295384,48.51219512195122,1.3857903222943375,0.9855770634940041
64701,0.9818091988550293,0.016609672691744015,0.02395014746953575,0.08764202121075455,0.5194698524159812,1.0943103875413762,3.8035635175032274,37.02492149558055,37.206553176406786,59.60606060606061,0.1870538043033989,0.05225969304398381
57601,0.9948607797173978,0.018563751831949193,0.013916191927518709,0.0354294525523845,0.1624393451235544,0.27681429209355346,0.7398720415604579,35.21413156800997,10.518943099555033,53.270270270270274,0.47738522808714273,0.16041228859789214
37609,0.9772936261969041,0.021983390327308255,0.0524900234501055,0.11056580583911896,0.6037861634092974,1.0331856530696604,2.3430974919615353,23.73811142202129,46.49335438813472,45.95454545454545,1.2539280910355826,0.9987805932005711
24722,0.9882698781002976,0.02882266731802638,0.022508340853206615,0.04248004368996128,0.24856620241351757,0.4066894232997369,0.7033304866594245,22.128180256732257,23.994675974684476,34.58620689655172,1.2539280910355826,0.9987805932005711
21705,0.9889670441905478,0.0268685881778212,0.026468262221432868,0.0743392426341665,0.45002452891163547,0.41070111762670586,1.1484785828578707,25.102376116497446,22.58856146946882,37.01851851851852,1.2539280910355826,0.9987805932005711
22721,0.9665370684131724,0.030776746458231558,0.05620115342925848,0.16633110319533578,0.959212672708555,1.0877759326032326,3.509206124275318,23.555544647977285,68.52988375400365,32.32258064516129,1.2539280910355826,0.9987805932005711
47375,0.9707191694616628,0.02051783097215437,0.05869536828511218,0.12219226114000106,0.5115805795311474,1.4277450247865757,3.6418164617604813,32.08799620259018,59.96529104103617,47.65853658536585,1.3643779774400742,0.998148996497632
29615,0.9896715890772958,0.024914509037616023,0.02432068953466149,0.04851130576909759,0.22326641012491721,0.41458260833849914,0.8603562315934382,25.556533411243393,21.14371302526345,40.06,1.2539280910355826,0.9987805932005711
36496,0.977411763567806,0.024425989252564728,0.038533263364551956,0.10003909740731377,0.4765074446874933,0.9251740735719665,3.034386432113541,23.545484441133933,46.25870367859833,40.6530612244898,1.2539280910355826,0.9987805932005711
41855,0.9769356901107351,0.022960429897410845,0.05028986248227424,0.12935303733098866,0.7195327717473191,1.004876620112019,3.272120181772656,26.640290988834078,47.22920114526488,43.34782608695652,1.330501892272221,0.9991240500474161
16665,0.9295832801265808,0.02784562774792379,0.36147181807485945,0.4546332699710653,1.0000000000000004,2.5300365807497323,5.631476836754965,39.387170130873415,144.2120851027347,34.839285714285715,1.2539280910355826,0.9987805932005711
32418,0.9808323248169397,0.024914509037616023,0.0469986216401709,0.11145702660459428,0.5655247914419983,0.7696900792671039,1.743542805181542,20.455571368211643,39.25419404262231,40.64,1.2539280910355826,0.9987805932005711
51252,0.9913629384341609,0.019052271617000488,0.02427136754140722,0.06036597991228396,0.34853035868547877,0.4524965870671782,1.152813218165517,39.58913817571488,17.647366895619946,51.44736842105263,0.43397887270370505,0.15643618417070837
49061,0.9680876600429769,0.026380068392769906,0.06605924256584626,0.16554689151676225,0.8656543364589544,1.2102602914462164,3.636702315075047,28.8752857799102,65.35405573809567,38.37735849056604,1.3480192173014836,0.8644350453038488
39594,0.9644486973209117,0.02784562774792379,0.050916404636885994,0.13214118227207425,0.7809318392882839,1.277138160322793,3.750157349311527,23.53815291940179,72.7968751383992,35.75,1.2539280910355826,0.9987805932005711
62819,0.9891901238693288,0.009770395701025891,0.038264105784413784,0.06216137326765924,0.24783372176663399,1.106717730810046,1.882559045587529,57.99531932588967,22.134354616200923,95.73684210526316,0.4790918701894449,0.16699729089917703
60359,0.9842628759421232,0.013190034196384953,0.023684087565067072,0.07737201448377694,0.40888419186898983,1.1936719280390913,3.0108957119544417,75.09123641932025,32.22914205705546,75.8076923076923,1.318903885988908,0.9964019109226455
23544,0.9865579896778145,0.024914509037616023,0.037701704041051096,0.0911365601427035,0.5726681980152368,0.5397793140647903,1.2771382006820913,19.53356086329372,27.5287450173043,39.4,1.385059944748698,0.9899196235064025
19574,0.9736335241971426,0.023937469467513434,0.053365705919068925,0.1506751156018214,0.9364401310595316,1.1019982184402952,4.097888622600456,29.916898792042822,53.99791270357447,42.25,1.3187652705418826,0.9994776977687281
19337,0.9693972131817918,0.027357107962872496,0.05701992694820474,0.15774885894320625,0.9999753025937353,1.119183829225803,4.266193793412558,19.975075378171578,62.67429443664497,35.6,1.2539280910355826,0.9987805932005711
7253,0.9880792435710317,0.023937469467513434,0.031107752929176967,0.1005653107582947,0.6889759729285552,0.49823226149128597,1.9472549674580506,20.654398240245747,24.413380813073005,41.75,1.2539280910355826,0.9987805932005711
9206,0.9558100512342806,0.0268685881778212,0.07027757332565478,0.17108389370096855,0.7824000927089491,1.6454516888694417,5.0317972933248605,27.888200276777287,90.49984288781931,35.629629629629626,1.2539280910355826,0.9987805932005711
22542,0.9897061254585198,0.024914509037616023,0.024045203444300334,0.061269198937390225,0.3324301013297024,0.41334728892244027,1.0896673512418056,24.737412960938336,21.080711735044453,40.02,1.25801666834168,0.9986340321818892
47867,0.9944413294242358,0.024425989252564728,0.016604304762901086,0.04716097741407239,0.3260589000687657,0.22767913840819054,0.6691080425137772,19.613742005761033,11.383956920409528,40.48979591836735,1.2539280910355826,0.9987805932005711
825,0.9703589505033728,0.021983390327308255,0.07039510991500691,0.17267353017480033,0.8261080557406092,1.34873213329719,3.797092595479487,24.199284532829196,60.69294599837356,45.59090909090909,1.2539280910355826,0.9987805932005711
24221,0.9813328405279327,0.02344894968246214,0.03555796265575186,0.09978793187732701,0.5806757804086362,0.7953606928884208,2.9823844993153785,26.369351319278742,38.177313258644205,42.38297872340426,1.304742735494572,0.9975238761311562
48823,0.9674442158570584,0.0268685881778212,0.14830824906633455,0.328336824895666,1.0000000000000002,1.2122370939379998,3.0082872993549725,26.83422793284194,66.67304016658997,37.129629629629626,1.2539280910355826,0.9987805932005711
28525,0.9850463243660402,0.02247191011235955,0.042629029097451754,0.0767735397891447,0.30183885886284334,0.6657522882775089,1.2221642286070666,22.41813639681436,30.624605260765406,43.77777777777778,1.2539280910355826,0.9987805932005711
46388,0.9810740348955831,0.02882266731802638,0.028143884589011698,0.10674264711839529,0.6668343510793643,0.6568629935276329,2.6115306930421265,27.13874160818994,38.754916618130345,34.37931034482759,1.2539280910355826,0.9987805932005711
44040,0.9626059785452872,0.023937469467513434,0.17613336228161292,0.34922392925920914,1.0000000000000004,1.5629130654120635,3.2655911967326263,31.271409332914093,76.58274020519113,41.375,1.2606824779635737,0.9992536061426853
63547,0.992064362290363,0.017586712261846604,0.022926009389639738,0.04315041336854828,0.17528193604217512,0.45087902670067503,0.7808613546264228,41.514846127374625,16.231644961224298,56.05714285714286,1.3831446610243807,0.9960561860383675
44269,0.9875982370641327,0.021983390327308255,0.031532530020640534,0.05773122224769655,0.25301520319901527,0.56438642183582,1.1615883758876715,26.93528938121116,25.3973889826119,44.88636363636363,1.320594181302951,0.9948064869972744
40352,0.9768682328523526,0.0268685881778212,0.044426242686430924,0.10326999859683716,0.5727306196112597,0.8613328307801714,2.508033305266697,21.900604748275605,47.37330569290944,37.25925925925926,1.2539280910355826,0.9987805932005711
