regime,M,n_rows,four_class_balanced_acc_median,four_class_balanced_acc_p16,four_class_balanced_acc_p84,binary_c4_vs_rest_median,binary_c4_vs_rest_p16,binary_c4_vs_rest_p84,mid_k_frac_median
per_sightline_mean_removed,64,25,0.6888197586726998,0.653653846153846,0.7065271493212669,0.9742332830568126,0.9603670186023127,0.9869281045751634,0.3795344133574944
per_sightline_mean_removed,256,25,0.8269230769230769,0.768974358974359,0.8653846153846154,1.0,1.0,1.0,0.3861162950538629
