sightline_idx,wavelet_l2_norm,raw_l2_norm
0,2.230712975046676,1.3301844852359155
1,1.9828301130249752,0.7734366852996569
2,2.3000019604033435,2.3597914345795856
3,2.034778645163276,1.4486100505913504
4,1.671847610660139,2.29197938358718
5,2.5444029745282184,0.26770850437513116
6,2.096242886862626,1.4558039772831899
7,2.0476375434275904,1.1786913794604972
8,2.320181454364997,1.8662998234083668
9,1.5048679633891178,0.6374259339729219
10,0.24126804962179768,0.13470136643293684
11,2.330402341143483,2.336415826168316
12,1.7961396597937815,2.2324123465632386
13,2.554863058914674,0.7259859237423386
14,0.8305346886243818,0.6955907038609016
15,1.5193819280068452,2.2543464296890607
16,1.780370380630211,0.5827065207592144
17,1.768324249539108,1.0335778128637063
18,2.384344304343655,2.07261837463605
19,1.5594309004747144,0.6549042915108205
20,2.5087751392625406,2.9185891425457564
21,2.2955550774193663,2.4759561243517205
22,0.9114567246157923,1.5965453149429618
23,1.9243279638663293,1.6343624085325767
24,2.1453573811931674,2.756810591874331
25,1.650610118663132,1.0479597677061838
26,0.8161894717274519,0.10469874924766064
27,2.049706150182969,2.3917985091818705
28,2.4906571762979843,2.306043398338562
29,1.5687437789120222,0.15359161724563378
30,1.7367081313476418,2.3519908302190493
31,1.729469505250018,1.8897626600160302
32,1.8847226519045288,0.414039744769737
33,2.444733174308758,1.7828130673395808
34,1.7188900952453647,1.2090161071337668
35,0.8748029346118272,0.23839510886761
36,0.9160004516225884,0.25795101185649755
37,2.5952695837595687,2.1451910602640654
38,1.697165871969767,0.9825341846176495
39,1.5577552076188819,1.1470647231532602
40,1.6963475331956999,1.4762754378120395
41,2.3983529677277993,1.807831683039518
42,3.269153367262198,3.197014839891207
43,1.7433569359116614,0.6484508552330673
44,2.193077770260496,0.16639495872615923
45,2.876879067727603,0.19625869693305872
46,3.241215652001942,0.6579926158210956
47,2.6413430713679604,2.4171949504754835
48,3.072945953753749,2.405402241692314
49,2.505357116427777,2.4806860629296987
50,2.5665545328758936,2.704252932775678
51,1.392547305844925,1.8006433965972515
52,2.0802900912227216,1.3510494944917686
53,1.1843864645759963,1.854115489142382
54,1.9830145977493867,2.644484820482495
55,2.0012298645510307,0.9738939331751704
56,2.0626842100058775,1.2282229014679116
57,2.106833800462568,2.5572316259901355
58,2.8391564408557173,2.0035087134910228
59,2.4579495201947408,1.5459197731098253
60,2.309966711907091,2.357369586118687
61,2.560317752108393,0.4703985271044835
62,2.009273797692825,1.699059665384689
63,1.5783733878075978,0.5422250182295
64,2.282992833679011,2.691155707786756
65,2.49261963105356,2.1355187461233878
66,2.1934640638538845,1.5805417091568073
67,2.3581767674567,1.2009113653133436
68,1.5524361066359242,1.0216488381559425
69,2.2229708204656586,2.2299122128754836
70,1.8717031212378987,2.1599673260526346
71,2.1780252555486688,0.21674037063669035
72,1.8805126380781372,2.326886445080166
73,2.307149589614538,0.37240283875840574
74,2.373622292926832,2.145116313924273
75,2.0676607746970075,1.958392383668105
76,2.5919103191659225,2.2532844612655287
77,0.5853997516877374,2.209781610078841
78,1.6593596034475355,1.3709040459013146
79,1.1120781172048293,1.2864320034061485
80,1.7005395912755639,0.2656839323957372
81,2.623122374446428,3.179111482464213
82,1.9596040833213795,2.431948927256154
83,1.3627634580959629,1.2604014384145001
84,3.2309064672945937,0.3724379425231759
85,2.3536924826645818,2.365510905507926
86,2.689659788324067,2.6987461629255054
87,2.3923399005923374,1.6605239058568009
88,1.3684238607024937,0.9255942883494275
89,0.8630367708898199,1.749829864759945
90,1.2414394853891866,0.6985065459695569
91,0.8334847121578107,1.1557868056932277
92,2.563480323112979,1.3133495238614288
93,3.0417666532374747,2.4752142936731523
94,2.5272383525998214,0.8392281004040274
95,2.1960891606163715,1.3371249811023125
96,0.755085376774815,1.5653796963668278
97,2.3303817170216377,1.5407513795790129
98,2.1055507097386923,1.1861755930588118
99,1.5098083103969986,1.392033465881774
100,1.5244001360805828,0.6980411813857167
101,2.2491659195314817,2.480476302879997
102,2.720721970263578,1.4390506102777116
103,2.107593393391309,1.3998819765763404
104,2.2407844728583117,1.5665172229062725
105,1.907289297386433,2.2337475068909263
106,2.3354716630775587,2.472337073145663
107,1.3071182027769432,0.2640017782616247
108,2.0814983074376774,2.2005335545753413
109,2.8626599437466873,2.435747728975109
110,3.0712740160060914,1.7526052859535883
111,3.079012447430556,1.5631221409653933
112,2.475314960306644,1.162829525583839
113,1.6737316553813295,1.0069928213448032
114,1.448519712022084,2.2268291438244097
115,1.5255415299938582,0.8298357177303324
116,0.3813219471347538,0.05845375009354158
117,2.3977063091142523,2.0131841272729267
118,1.6806971016412133,2.32769283247704
119,2.4316179413656864,2.2294146773638386
120,2.2879100249116178,2.6238552745542534
121,2.778945309844443,2.5433329665883186
122,2.0604203566655777,2.907122760045792
123,0.9185684513927377,0.4086991235553993
124,2.010389254764008,1.2272754244642616
125,1.3591439101304081,1.0176464596690789
126,2.0564169363211677,1.9238780403755147
127,2.2700702894114673,2.2127998542605942
128,1.667644524553282,0.5999679252783154
129,2.1256989541442355,1.5008419167371794
130,1.9383372748871206,1.8786846050531902
131,1.3827452209862137,0.43010725857054316
132,2.108878447772284,2.4748127719155524
133,1.107373580771085,1.6891519330266245
134,0.7137139066073909,1.3658966665670207
135,1.6460719012206115,1.9850059769869124
136,2.8105602894938495,2.4021096348198197
137,2.5669185245954886,2.254451985685787
138,1.6421061785397146,0.6591344964024227
139,2.016287467362004,0.6340504638493929
140,2.2769557541773913,1.820591879152432
141,2.032857594280001,1.1371074746839094
142,1.3832784258641615,0.42899696924742725
143,3.122583698113808,1.3238122994842194
144,1.9019131251972285,0.597074527077132
145,0.7914163603815548,1.2915750614753465
146,3.1168400682326842,1.1170295160065262
147,2.1257167751323105,2.271897434529267
148,1.545804838427327,2.1237607069152817
149,2.2289186590411103,2.6126709836160438
150,1.4218594500340964,2.559362848389329
151,2.6359243044329776,2.143071831266961
152,2.6748221627812683,1.6877943783115952
153,1.7330929612336479,1.0777896991839888
154,0.9650850605700976,0.5195205260489127
155,1.9972751745510917,1.3397173017210484
156,2.008246755033675,2.672094453044531
157,1.3684909133153036,0.20228087051222352
158,0.6339509357197074,0.09627195458185984
159,0.8268994295193578,0.5353982362103579
160,2.012250554540789,1.2982569062705447
161,1.1571144550670973,1.703396897877749
162,2.2626735999402774,1.5745692527963915
163,2.3427808186252017,2.3691161043895956
164,1.603052159517194,1.3914216038342722
165,2.2649669556775938,1.2774162912077194
166,2.6009971158962926,1.8412033748467667
167,1.001785161561431,0.353964525121021
168,2.43292977485007,1.7492086593914962
169,2.1939908854183487,2.25958936966895
170,2.1545999354116026,0.6031660348206239
171,1.7634759860266644,1.4437890665496342
172,0.46884394890834463,0.3665524295597339
173,2.4757339605681983,1.977926669941859
174,2.4208331507292753,1.9905129823098773
175,2.18096468673003,0.11199538768192707
176,1.350757745651087,0.6489266467046038
177,2.244986756021617,2.4606628698967503
178,0.6350588049008083,0.5799757689934513
179,2.650981748951348,1.9326767785943646
180,2.9716845902372624,2.70791892913591
181,1.4931927267195166,2.1835530420392857
182,2.037180517043236,1.823613824550426
183,0.3464705134608257,1.3635529551776768
184,2.274131479179982,2.063916355570398
185,2.5328763998108084,2.6630359442127967
186,2.0348821255032195,1.0336022743805107
187,1.4760932902088364,0.9834369075148143
188,1.71754116353524,1.568485011023367
189,1.7850171422678291,1.7459275916496928
190,1.3505938849470698,1.0560703208258375
191,2.0106157955879254,1.0612287165638297
192,1.9887871877683185,1.0132768363603757
193,2.463282653237407,1.8069281105550892
194,1.3407172370586666,1.6079370666483714
195,1.870666081906993,2.3046255599383336
196,2.7626866847469707,1.318093998386288
197,2.2247117182889644,2.422368069187471
198,0.7556620270067836,0.11420326922641538
199,2.6566242250909373,3.0787662580463633
200,0.7906906645422297,0.4578716629287714
201,2.553010883408851,2.8158557638616624
202,1.0613137926440224,0.2953573074741632
203,1.5965739006337663,1.3150136135490387
204,2.343921540608214,2.237303550767228
205,1.18847541694696,1.5055476280242959
206,2.309385084173263,1.1448045200853807
207,2.283648835526953,1.8006596354587427
208,0.33275401182873665,0.17313818899600253
209,2.459453001198742,1.6513131633769904
210,1.50307791938741,0.9731334088588018
211,2.317262822379673,2.3157112968877045
212,2.393740994129453,1.018238037318133
213,0.8646101948119657,0.42247536092374843
214,1.0684088869623838,1.9214660826965628
215,2.0998124239509592,0.8945169493882511
216,1.0333786753003382,2.7615797430479585
217,2.329618822050424,2.385968347766501
218,1.274285944112978,1.1461847523178004
219,2.768949472262549,2.922629975723853
220,0.5984365223661154,0.6447836918080929
221,1.3217224585529646,2.1243656152072434
222,2.930815485407562,2.4652510298196746
223,2.612233473516109,1.3806600203656578
224,1.3794370477902214,1.0186340527347975
225,2.5943515931725467,1.906419301468604
226,1.2193755181506016,1.8065210813559172
227,1.2238807183387503,0.4741770295094833
228,1.3164225391355027,1.6995850129292671
229,1.280348867568016,0.6928160468854848
230,1.8545576233305834,1.3197323955662317
231,3.072938462744112,1.2710533988602322
232,1.0349019703061961,1.4558427881424723
233,2.5836966538018493,2.7414031980696687
