run,n,min,p25,median,mean,p75,max,std
wavelet,16384,0.05851135150886479,1.4949227738662219,2.041028965939373,1.9589313820061942,2.4406607920187953,3.704836617690812,0.6735298036988631
raw,16384,0.006939915654347719,0.8898392140272362,1.6243695399367382,1.5622546064461453,2.25216039706355,3.9119925673502745,0.7977997876682592
