feedback_class,class_name,depth_1_minus_f,y_median,y_p25,y_p75
1,NoFeedback,0.012820840182295097,0.0006116491109998583,0.00023732320804928538,0.0015504956767336698
1,NoFeedback,0.03846185732041733,0.007523614821900316,0.005681522556029627,0.010023842552262578
1,NoFeedback,0.06410287445853956,0.012581314672154637,0.009707119920887686,0.01670971491869241
1,NoFeedback,0.08974389159666178,0.017788580400277483,0.013995021661376228,0.023567548513511116
1,NoFeedback,0.11538490873478402,0.023340496570430733,0.018579757401234555,0.03113047601143299
1,NoFeedback,0.14102592587290624,0.02883965083009411,0.02324727960498042,0.038047731581458764
1,NoFeedback,0.16666694301102847,0.035085524988400674,0.028411898477523918,0.046267214009411806
1,NoFeedback,0.1923079601491507,0.0415207350607787,0.03359830287022354,0.055460897339236426
1,NoFeedback,0.21794897728727292,0.0474092118447869,0.03881679546742024,0.06295841289141227
1,NoFeedback,0.24358999442539514,0.054511585163236995,0.044418921621390745,0.07345368073609256
1,NoFeedback,0.26923101156351736,0.06146671465283941,0.05033394898876247,0.07998318425668363
1,NoFeedback,0.29487202870163964,0.06811920902705312,0.05624250736891626,0.08925467914382416
1,NoFeedback,0.3205130458397618,0.07522539821067009,0.06219963373927816,0.10092119267695324
1,NoFeedback,0.3461540629778841,0.08265451538079366,0.06855098220466313,0.11150097037907486
1,NoFeedback,0.37179508011600626,0.09072619096817355,0.07490724568381901,0.12021095480978243
1,NoFeedback,0.39743609725412854,0.10041745741534222,0.08225523708683424,0.13600526687856734
1,NoFeedback,0.4230771143922507,0.10702717241445756,0.08826846732366872,0.14222197562930333
1,NoFeedback,0.448718131530373,0.11624819232691577,0.09546767671526904,0.1551309414316292
1,NoFeedback,0.47435914866849516,0.12437853828713315,0.10195955420258837,0.1632232676387731
1,NoFeedback,0.5000001658066174,0.12960132539926042,0.10876296728615821,0.17433900126891036
1,NoFeedback,0.5256411829447396,0.1457615067914978,0.1194832353516369,0.19480619245783753
1,NoFeedback,0.5512822000828619,0.1539798129469182,0.12548021643281698,0.2023336313243942
1,NoFeedback,0.5769232172209842,0.1653349161536351,0.13655573103203864,0.21102978608616801
