feedback_class,class_name,line_density_lines_per_angstrom,total_ew_angstrom,count,density
1,NoFeedback,1.1515273735707097,0.3387323141764973,3,0.00018310546875
1,NoFeedback,1.1515273735707097,0.4005147573163834,1,6.103515625e-05
1,NoFeedback,1.1515273735707097,0.47356589293284373,1,6.103515625e-05
1,NoFeedback,1.1515273735707097,0.5599410529887804,1,6.103515625e-05
1,NoFeedback,1.1515273735707097,0.7828275415442694,3,0.00018310546875
1,NoFeedback,1.1515273735707097,1.094434774034195,1,6.103515625e-05
1,NoFeedback,1.1515273735707097,1.2940521455314113,2,0.0001220703125
1,NoFeedback,1.1515273735707097,2.139131375029364,1,6.103515625e-05
1,NoFeedback,1.2777109609827775,0.17330418694772587,5,0.00030517578125
1,NoFeedback,1.2777109609827775,0.20491367806472355,7,0.00042724609375
1,NoFeedback,1.2777109609827775,0.24228852284266275,10,0.0006103515625
1,NoFeedback,1.2777109609827775,0.286480282115367,16,0.0009765625
1,NoFeedback,1.2777109609827775,0.3387323141764973,12,0.000732421875
1,NoFeedback,1.2777109609827775,0.4005147573163834,15,0.00091552734375
1,NoFeedback,1.2777109609827775,0.47356589293284373,18,0.0010986328125
1,NoFeedback,1.2777109609827775,0.5599410529887804,12,0.000732421875
1,NoFeedback,1.2777109609827775,0.6620704478534867,9,0.00054931640625
1,NoFeedback,1.2777109609827775,0.7828275415442694,19,0.00115966796875
1,NoFeedback,1.2777109609827775,0.9256098981416236,16,0.0009765625
1,NoFeedback,1.2777109609827775,1.094434774034195,7,0.00042724609375
1,NoFeedback,1.2777109609827775,1.2940521455314113,3,0.00018310546875
1,NoFeedback,1.2777109609827775,1.5300783519348669,5,0.00030517578125
1,NoFeedback,1.2777109609827775,1.8091541141862668,2,0.0001220703125
1,NoFeedback,1.2777109609827775,2.139131375029364,3,0.00018310546875
1,NoFeedback,1.2777109609827775,2.529294217531704,2,0.0001220703125
1,NoFeedback,1.2777109609827775,8.172079927361038,1,6.103515625e-05
1,NoFeedback,1.4177216601922886,0.0886668911013989,1,6.103515625e-05
1,NoFeedback,1.4177216601922886,0.10483912188245244,1,6.103515625e-05
1,NoFeedback,1.4177216601922886,0.12396105626974341,5,0.00030517578125
1,NoFeedback,1.4177216601922886,0.14657069990284274,12,0.000732421875
1,NoFeedback,1.4177216601922886,0.17330418694772587,26,0.0015869140625
1,NoFeedback,1.4177216601922886,0.20491367806472355,27,0.00164794921875
1,NoFeedback,1.4177216601922886,0.24228852284266275,52,0.003173828125
1,NoFeedback,1.4177216601922886,0.286480282115367,68,0.004150390625
1,NoFeedback,1.4177216601922886,0.3387323141764973,84,0.005126953125
1,NoFeedback,1.4177216601922886,0.4005147573163834,89,0.00543212890625
1,NoFeedback,1.4177216601922886,0.47356589293284373,80,0.0048828125
1,NoFeedback,1.4177216601922886,0.5599410529887804,104,0.00634765625
1,NoFeedback,1.4177216601922886,0.6620704478534867,88,0.00537109375
1,NoFeedback,1.4177216601922886,0.7828275415442694,89,0.00543212890625
1,NoFeedback,1.4177216601922886,0.9256098981416236,75,0.00457763671875
1,NoFeedback,1.4177216601922886,1.094434774034195,49,0.00299072265625
1,NoFeedback,1.4177216601922886,1.2940521455314113,32,0.001953125
1,NoFeedback,1.4177216601922886,1.5300783519348669,20,0.001220703125
1,NoFeedback,1.4177216601922886,1.8091541141862668,9,0.00054931640625
1,NoFeedback,1.4177216601922886,2.139131375029364,2,0.0001220703125
1,NoFeedback,1.4177216601922886,2.9906200776244978,1,6.103515625e-05
1,NoFeedback,1.4177216601922886,3.5360886000122487,1,6.103515625e-05
1,NoFeedback,1.4177216601922886,5.845327095426733,1,6.103515625e-05
1,NoFeedback,1.5730746367178354,0.10483912188245244,3,0.00018310546875
1,NoFeedback,1.5730746367178354,0.12396105626974341,10,0.0006103515625
1,NoFeedback,1.5730746367178354,0.14657069990284274,52,0.003173828125
1,NoFeedback,1.5730746367178354,0.17330418694772587,72,0.00439453125
1,NoFeedback,1.5730746367178354,0.20491367806472355,134,0.0081787109375
1,NoFeedback,1.5730746367178354,0.24228852284266275,194,0.0118408203125
1,NoFeedback,1.5730746367178354,0.286480282115367,272,0.0166015625
1,NoFeedback,1.5730746367178354,0.3387323141764973,323,0.01971435546875
1,NoFeedback,1.5730746367178354,0.4005147573163834,356,0.021728515625
1,NoFeedback,1.5730746367178354,0.47356589293284373,374,0.0228271484375
1,NoFeedback,1.5730746367178354,0.5599410529887804,372,0.022705078125
1,NoFeedback,1.5730746367178354,0.6620704478534867,371,0.02264404296875
