feedback_class,class_name,line_density_lines_per_angstrom,y_median,y_p25,y_p75
1,NoFeedback,1.2777109609827775,0.5101749119396677,0.3312050965893235,0.8359172350419775
1,NoFeedback,1.4177216601922886,0.5257607075629986,0.3389901539805579,0.7823215425177891
1,NoFeedback,1.5730746367178354,0.4983255465293527,0.3348014360276905,0.7375057445153688
1,NoFeedback,1.7454510868863495,0.503290141571049,0.3455383108496369,0.7412247085990398
1,NoFeedback,1.9367164313763021,0.5635025039010955,0.3834613608428965,0.8090385485411653
1,NoFeedback,2.1489405023970094,0.6186260829007421,0.43619772527399425,0.858935731370255
1,NoFeedback,2.3844199429653363,0.6896517057009324,0.4943644773166417,0.966525830430086
1,NoFeedback,2.645703060679922,0.8265487583140207,0.5272988945746029,1.1216230629058348
2,StellarWind,1.1515273735707097,1.325547961734439,0.80340950710986,4.3430210028489045
2,StellarWind,1.2777109609827775,0.5733140569908504,0.3597666372840864,0.9642671579040956
2,StellarWind,1.4177216601922886,0.5636096163016285,0.3558007549865998,0.8689721613585446
2,StellarWind,1.5730746367178354,0.5342602391992498,0.34986482527883467,0.8044746695610259
2,StellarWind,1.7454510868863495,0.5333637966742301,0.3602575574257967,0.8032358942533123
2,StellarWind,1.9367164313763021,0.5994018786183367,0.40584771684772103,0.8824966048160082
2,StellarWind,2.1489405023970094,0.6878292048138717,0.4627945026047526,1.0057978003791672
2,StellarWind,2.3844199429653363,0.7947167647694827,0.5432103014371591,1.1737058538176735
2,StellarWind,2.645703060679922,1.04818400753041,0.6345518853613284,1.5613151262870488
3,WindAGN,1.1515273735707097,0.7190760378894178,0.3785518811573735,0.9601814028607136
3,WindAGN,1.2777109609827775,0.6060678142892912,0.41396861831350806,0.9553750964804513
3,WindAGN,1.4177216601922886,0.6115871475015111,0.3778319237198405,0.8999028147698234
3,WindAGN,1.5730746367178354,0.5490498686696348,0.3661420510900743,0.8130889801687209
3,WindAGN,1.7454510868863495,0.5599526513966426,0.37691218278425875,0.8300086185008628
3,WindAGN,1.9367164313763021,0.6069297551450599,0.41795130130496044,0.8934702686952395
3,WindAGN,2.1489405023970094,0.6922872508743853,0.4732068238501734,1.0232608509119068
3,WindAGN,2.3844199429653363,0.7673729334645967,0.5270007313358672,1.0992032639019917
3,WindAGN,2.645703060679922,0.9870635842868641,0.677610270512186,1.6163320428682961
4,WindStrongAGN,0.6170553771049359,0.365458359418066,0.2585843800837779,0.7466952918471699
4,WindStrongAGN,0.6846718861884916,0.5168447006514897,0.3353105434203538,0.6798346045829048
4,WindStrongAGN,0.7596977664083904,0.4876966104541127,0.2924629288325872,0.7804962691311149
4,WindStrongAGN,0.8429449316208804,0.4384018091451716,0.2761414348562343,0.6729193626976332
4,WindStrongAGN,0.9353142646510788,0.39924455526722186,0.2531537886681906,0.6328130111843233
4,WindStrongAGN,1.0378053664521476,0.3762940316254707,0.23450995356734888,0.6014912039255566
4,WindStrongAGN,1.1515273735707097,0.357952351808256,0.2317523931672517,0.5923541471529636
4,WindStrongAGN,1.2777109609827775,0.3447606181881987,0.22493666542994056,0.5722291785092857
4,WindStrongAGN,1.4177216601922886,0.33680235144981013,0.21621411557859938,0.5586930661753139
4,WindStrongAGN,1.5730746367178354,0.34878598425075,0.2254599544173928,0.5590784260937567
4,WindStrongAGN,1.7454510868863495,0.3861298810257514,0.24328974530145575,0.6397615932641841
4,WindStrongAGN,1.9367164313763021,0.441165482287137,0.28502244640550256,0.8696637320697052
