feedback_class,class_name,line_density_lines_per_angstrom,y_median,y_p25,y_p75
1,NoFeedback,1.2777109609827775,0.7645300812046716,0.750731425771625,0.7803352732220235
1,NoFeedback,1.4177216601922886,0.6921503314243097,0.6806310943352905,0.709361450907896
1,NoFeedback,1.5730746367178354,0.6264046903513013,0.6116255150503441,0.6436362678237144
1,NoFeedback,1.7454510868863495,0.5688268260014736,0.5555893744325587,0.5837303405751868
1,NoFeedback,1.9367164313763021,0.5171322812089618,0.5025949186283138,0.5305906513482234
1,NoFeedback,2.1489405023970094,0.46790712072598006,0.45540225894407077,0.47831110029451285
1,NoFeedback,2.3844199429653363,0.42484561090736594,0.413502222730108,0.4341640796688737
1,NoFeedback,2.645703060679922,0.38393342757128024,0.3766770229223769,0.3891612935288614
2,StellarWind,1.1515273735707097,0.8482777884389152,0.8057883871565954,0.868989925755717
2,StellarWind,1.2777109609827775,0.7631514771123276,0.7487121054444954,0.7849312251856233
2,StellarWind,1.4177216601922886,0.6920982947323362,0.6794215032622457,0.7090913170158188
2,StellarWind,1.5730746367178354,0.6254752349424658,0.6111003512746621,0.6434149389492314
2,StellarWind,1.7454510868863495,0.5692266366274839,0.5562558973976525,0.5842992526899214
2,StellarWind,1.9367164313763021,0.5171853990918862,0.5026350267505626,0.5309628762666804
2,StellarWind,2.1489405023970094,0.46737165152120214,0.45488458228259476,0.47782029527678854
2,StellarWind,2.3844199429653363,0.42415095419793986,0.4131125201501939,0.4347616582279171
2,StellarWind,2.645703060679922,0.3813427310394212,0.36969860895677614,0.3888734411027694
3,WindAGN,1.1515273735707097,0.8424245567474884,0.8244070527866514,0.8684851925436021
3,WindAGN,1.2777109609827775,0.7645790503520087,0.751074006187168,0.7831464029475836
3,WindAGN,1.4177216601922886,0.6927700573894748,0.6800871868344245,0.7107748202674824
3,WindAGN,1.5730746367178354,0.6264460129170477,0.6121758302361548,0.6442747358311284
3,WindAGN,1.7454510868863495,0.5692507203456543,0.5554033478977499,0.5846685404882592
3,WindAGN,1.9367164313763021,0.5175171437335582,0.5034047801086885,0.5306093186559637
3,WindAGN,2.1489405023970094,0.46712805018563586,0.4557488718797878,0.47762704283904145
3,WindAGN,2.3844199429653363,0.4245750524414519,0.4145694350944428,0.43437509695394194
3,WindAGN,2.645703060679922,0.38078571525152693,0.371384348779083,0.3863200176584707
4,WindStrongAGN,0.6170553771049359,1.5858333990250444,1.5373267703882367,1.6431435427131191
4,WindStrongAGN,0.6846718861884916,1.438577214218221,1.3786736945342,1.4704763240921086
4,WindStrongAGN,0.7596977664083904,1.3023923248372122,1.2562123443651778,1.344338839565744
4,WindStrongAGN,0.8429449316208804,1.1575728945333594,1.1180926358980514,1.1948081889358846
4,WindStrongAGN,0.9353142646510788,1.036467129422893,1.0074620802476808,1.0717088063070384
4,WindStrongAGN,1.0378053664521476,0.9336776234879683,0.909095722752015,0.9626951073378771
4,WindStrongAGN,1.1515273735707097,0.8539434728785168,0.8329446232102824,0.8767434158704313
4,WindStrongAGN,1.2777109609827775,0.7737374160448343,0.7533202983333573,0.7967968942617712
4,WindStrongAGN,1.4177216601922886,0.7002599057040041,0.6824216598165669,0.7201825964530052
4,WindStrongAGN,1.5730746367178354,0.6370986496816226,0.6177351066277083,0.6552032469176368
4,WindStrongAGN,1.7454510868863495,0.571919032995621,0.5577094389602981,0.5870848468008537
4,WindStrongAGN,1.9367164313763021,0.5206887866016441,0.5033932733755511,0.5329841367682614
