feedback_class,class_name,bin_line_density_lines_per_angstrom,bin_activity_ew_angstrom,count,density
1,NoFeedback,2.1880370443097306,0.007347726707592954,356495,0.569395330413644
1,NoFeedback,2.1880370443097306,0.022042794287273154,30409,0.048569384149983866
1,NoFeedback,2.1880370443097306,0.03673786186695335,13977,0.02232412385360665
1,NoFeedback,2.1880370443097306,0.05143292944663355,8315,0.013280753369302373
1,NoFeedback,2.1880370443097306,0.06612799702631375,5605,0.008952329841844835
1,NoFeedback,2.1880370443097306,0.08082306460599395,4049,0.006467080023127517
1,NoFeedback,2.1880370443097306,0.09551813218567415,3235,0.0051669557606365815
1,NoFeedback,2.1880370443097306,0.11021319976535435,2478,0.003957872140605085
1,NoFeedback,2.1880370443097306,0.12490826734503455,2022,0.003229547000929573
1,NoFeedback,2.1880370443097306,0.13960333492471474,1684,0.0026896919631876366
1,NoFeedback,2.1880370443097306,0.15429840250439494,1362,0.0021753921935044897
1,NoFeedback,2.1880370443097306,0.16899347008407514,1163,0.0018575485470232905
1,NoFeedback,2.1880370443097306,0.18368853766375534,1024,0.0016355371557625533
1,NoFeedback,2.1880370443097306,0.19838360524343554,819,0.0013081102837593076
1,NoFeedback,2.1880370443097306,0.21307867282311574,730,0.001165959105182289
1,NoFeedback,2.1880370443097306,0.22777374040279594,647,0.0010333911521273164
1,NoFeedback,2.1880370443097306,0.24246880798247614,563,0.0008992259948186694
1,NoFeedback,2.1880370443097306,0.2571638755621563,515,0.0008225601906422998
1,NoFeedback,2.1880370443097306,0.2718589431418365,430,0.0006867978290799784
1,NoFeedback,2.1880370443097306,0.2865540107215167,384,0.0006133264334109575
1,NoFeedback,2.1880370443097306,0.3012490783011969,390,0.0006229096589330037
1,NoFeedback,2.1880370443097306,0.3159441458808771,293,0.0004679808463265899
1,NoFeedback,2.1880370443097306,0.3306392134605573,260,0.0004152731059553358
1,NoFeedback,2.1880370443097306,0.3453342810402375,214,0.0003418017102863148
1,NoFeedback,2.1880370443097306,0.3600293486199177,233,0.00037214859110612785
1,NoFeedback,2.1880370443097306,0.3747244161995979,188,0.00030027439969078124
1,NoFeedback,2.1880370443097306,0.3894194837792781,147,0.00023478902529013216
1,NoFeedback,2.1880370443097306,0.4041145513589583,158,0.0002523582720805502
1,NoFeedback,2.1880370443097306,0.4188096189386385,128,0.00020444214447031916
1,NoFeedback,2.1880370443097306,0.4335046865183187,100,0.00015972042536743683
1,NoFeedback,2.1880370443097306,0.4481997540979989,98,0.0001565260168600881
1,NoFeedback,2.1880370443097306,0.4628948216776791,79,0.0001261791360402751
1,NoFeedback,2.1880370443097306,0.4775898892573593,64,0.00010222107223515958
1,NoFeedback,2.1880370443097306,0.4922849568370395,73,0.00011659591051822889
1,NoFeedback,2.1880370443097306,0.5069800244167197,30,4.791612761023105e-05
1,NoFeedback,2.1880370443097306,0.5216750919963999,27,4.312451484920795e-05
1,NoFeedback,2.1880370443097306,0.5363701595760801,27,4.312451484920795e-05
1,NoFeedback,2.1880370443097306,0.5510652271557603,14,2.236085955144116e-05
1,NoFeedback,2.1880370443097306,0.5657602947354405,7,1.118042977572058e-05
1,NoFeedback,3.0811133889262425,0.007347726707592954,130343,0.2081843940366782
1,NoFeedback,3.0811133889262425,0.022042794287273154,12930,0.020651851000009585
1,NoFeedback,3.0811133889262425,0.03673786186695335,5197,0.008300670506345692
1,NoFeedback,3.0811133889262425,0.05143292944663355,2714,0.004334812344472236
1,NoFeedback,3.0811133889262425,0.06612799702631375,1622,0.0025906652994598257
1,NoFeedback,3.0811133889262425,0.08082306460599395,1044,0.0016674812408360405
1,NoFeedback,3.0811133889262425,0.09551813218567415,689,0.0011004737307816399
1,NoFeedback,3.0811133889262425,0.11021319976535435,520,0.0008305462119106716
1,NoFeedback,3.0811133889262425,0.12490826734503455,397,0.0006340900887087242
1,NoFeedback,3.0811133889262425,0.13960333492471474,292,0.00046638364207291557
1,NoFeedback,3.0811133889262425,0.15429840250439494,227,0.00036256536558408164
1,NoFeedback,3.0811133889262425,0.16899347008407514,168,0.0002683303146172939
1,NoFeedback,3.0811133889262425,0.18368853766375534,145,0.0002315946167827834
1,NoFeedback,3.0811133889262425,0.19838360524343554,112,0.00017888687641152927
1,NoFeedback,3.0811133889262425,0.21307867282311574,89,0.0001421511785770188
1,NoFeedback,3.0811133889262425,0.22777374040279594,64,0.00010222107223515958
1,NoFeedback,3.0811133889262425,0.24246880798247614,56,8.944343820576463e-05
1,NoFeedback,3.0811133889262425,0.2571638755621563,39,6.229096589330036e-05
1,NoFeedback,3.0811133889262425,0.2718589431418365,44,7.02769871616722e-05
1,NoFeedback,3.0811133889262425,0.2865540107215167,42,6.708257865432348e-05
1,NoFeedback,3.0811133889262425,0.3012490783011969,41,6.54853744006491e-05
1,NoFeedback,3.0811133889262425,0.3159441458808771,33,5.2707740371254154e-05
1,NoFeedback,3.0811133889262425,0.3306392134605573,20,3.194408507348737e-05
1,NoFeedback,3.0811133889262425,0.3453342810402375,19,3.0346880819813e-05
1,NoFeedback,3.0811133889262425,0.3600293486199177,6,9.58322552204621e-06
1,NoFeedback,3.0811133889262425,0.3747244161995979,13,2.076365529776679e-05
1,NoFeedback,3.0811133889262425,0.3894194837792781,8,1.2777634029394948e-05
1,NoFeedback,3.0811133889262425,0.4041145513589583,3,4.791612761023105e-06
1,NoFeedback,3.0811133889262425,0.4188096189386385,11,1.756924679041805e-05
1,NoFeedback,3.0811133889262425,0.4335046865183187,9,1.4374838283069316e-05
1,NoFeedback,3.0811133889262425,0.4481997540979989,6,9.58322552204621e-06
1,NoFeedback,3.0811133889262425,0.4628948216776791,3,4.791612761023105e-06
1,NoFeedback,3.0811133889262425,0.4775898892573593,6,9.58322552204621e-06
1,NoFeedback,3.0811133889262425,0.4922849568370395,5,7.986021268371842e-06
1,NoFeedback,3.0811133889262425,0.5069800244167197,4,6.388817014697474e-06
1,NoFeedback,3.0811133889262425,0.5216750919963999,1,1.5972042536743685e-06
1,NoFeedback,3.0811133889262425,0.5363701595760801,1,1.5972042536743685e-06
1,NoFeedback,3.0811133889262425,0.5510652271557603,2,3.194408507348737e-06
1,NoFeedback,3.0811133889262425,0.5657602947354405,2,3.194408507348737e-06
1,NoFeedback,4.867266078159267,0.007347726707592954,26261,0.04194418090574259
1,NoFeedback,4.867266078159267,0.022042794287273154,1401,0.00223768315939779
1,NoFeedback,4.867266078159267,0.03673786186695335,470,0.0007506859992269531
1,NoFeedback,4.867266078159267,0.05143292944663355,161,0.0002571498848415733
1,NoFeedback,4.867266078159267,0.06612799702631375,83,0.00013256795305497258
1,NoFeedback,4.867266078159267,0.08082306460599395,49,7.826300843004405e-05
1,NoFeedback,4.867266078159267,0.09551813218567415,19,3.0346880819813e-05
1,NoFeedback,4.867266078159267,0.11021319976535435,17,2.7152472312464262e-05
1,NoFeedback,4.867266078159267,0.12490826734503455,14,2.236085955144116e-05
1,NoFeedback,4.867266078159267,0.13960333492471474,11,1.756924679041805e-05
1,NoFeedback,4.867266078159267,0.15429840250439494,2,3.194408507348737e-06
1,NoFeedback,4.867266078159267,0.16899347008407514,3,4.791612761023105e-06
1,NoFeedback,4.867266078159267,0.18368853766375534,3,4.791612761023105e-06
1,NoFeedback,4.867266078159267,0.19838360524343554,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.21307867282311574,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.22777374040279594,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.24246880798247614,2,3.194408507348737e-06
1,NoFeedback,4.867266078159267,0.2865540107215167,2,3.194408507348737e-06
1,NoFeedback,4.867266078159267,0.3012490783011969,3,4.791612761023105e-06
1,NoFeedback,4.867266078159267,0.3159441458808771,3,4.791612761023105e-06
1,NoFeedback,4.867266078159267,0.3306392134605573,3,4.791612761023105e-06
1,NoFeedback,4.867266078159267,0.3453342810402375,3,4.791612761023105e-06
1,NoFeedback,4.867266078159267,0.3747244161995979,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.3894194837792781,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.4041145513589583,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.4188096189386385,2,3.194408507348737e-06
1,NoFeedback,4.867266078159267,0.4481997540979989,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.4628948216776791,2,3.194408507348737e-06
1,NoFeedback,4.867266078159267,0.5069800244167197,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.5216750919963999,3,4.791612761023105e-06
1,NoFeedback,4.867266078159267,0.5363701595760801,1,1.5972042536743685e-06
1,NoFeedback,4.867266078159267,0.5510652271557603,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.007347726707592954,1976,0.003156075605260552
1,NoFeedback,6.653418767392292,0.022042794287273154,42,6.708257865432348e-05
1,NoFeedback,6.653418767392292,0.03673786186695335,11,1.756924679041805e-05
1,NoFeedback,6.653418767392292,0.05143292944663355,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.06612799702631375,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.2571638755621563,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.2718589431418365,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.2865540107215167,2,3.194408507348737e-06
1,NoFeedback,6.653418767392292,0.3159441458808771,2,3.194408507348737e-06
1,NoFeedback,6.653418767392292,0.3306392134605573,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.3453342810402375,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.3600293486199177,2,3.194408507348737e-06
1,NoFeedback,6.653418767392292,0.3747244161995979,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.3894194837792781,2,3.194408507348737e-06
1,NoFeedback,6.653418767392292,0.4041145513589583,3,4.791612761023105e-06
1,NoFeedback,6.653418767392292,0.4188096189386385,4,6.388817014697474e-06
1,NoFeedback,6.653418767392292,0.4481997540979989,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.4775898892573593,1,1.5972042536743685e-06
1,NoFeedback,6.653418767392292,0.5216750919963999,4,6.388817014697474e-06
1,NoFeedback,6.653418767392292,0.5363701595760801,1,1.5972042536743685e-06
