feedback_class,class_name,bin_line_density_lines_per_angstrom,y_median,y_p25,y_p75
1,NoFeedback,2.1880370443097306,0.001693940237208933,0.0005326669988350816,0.008681220708593698
1,NoFeedback,3.0811133889262425,0.0024208058463038766,0.000778120695020374,0.008783241473366538
1,NoFeedback,4.867266078159267,0.0017669513941910475,0.0007254397135205771,0.0048296597598208165
1,NoFeedback,6.653418767392292,0.0020862311398055318,0.0010641638110559651,0.004380820577746325
1,NoFeedback,8.439571456625316,0.0030187963903372216,0.00012373948552937944,0.37840998716460306
1,NoFeedback,10.22572414585834,0.4513914526597699,4.456907267663935e-05,0.5252209109948917
1,NoFeedback,12.011876835091366,0.41372471774771924,4.1837940087287495e-05,0.4747760125835606
2,StellarWind,2.1880370443097306,0.0017280966554223875,0.0005390111265223181,0.008962449373815493
2,StellarWind,3.0811133889262425,0.0024243795196609887,0.0007842974125902895,0.008841374131956799
2,StellarWind,4.867266078159267,0.0017622987613406572,0.000724068974298927,0.0048389194931428734
2,StellarWind,6.653418767392292,0.002216131946519821,0.0011005796405471448,0.005011840970284025
2,StellarWind,8.439571456625316,0.38335345583445635,0.2997764448101335,0.4895532149366365
2,StellarWind,10.22572414585834,0.4352610992594572,0.35446379235468034,0.5268047259808601
2,StellarWind,12.011876835091366,0.4893845574035668,0.41453893869129227,0.5439206828255371
2,StellarWind,13.79802952432439,0.5157025848924552,0.4683358745893076,0.555270971602138
2,StellarWind,15.584182213557414,0.5310138142398513,0.49139422145952294,0.5580291148028211
2,StellarWind,17.37033490279044,0.5432774437964036,0.5201855134779807,0.5564910678975092
2,StellarWind,19.156487592023463,0.5537434427719746,0.525118850612421,0.5606463381610067
2,StellarWind,20.942640281256487,0.5577078918421916,0.5508335733417222,0.5619064485816108
2,StellarWind,22.728792970489515,0.5597372978394332,0.5514543263625455,0.5621597306653712
2,StellarWind,24.514945659722535,0.560747407399731,0.5576233610739663,0.5631200126105842
2,StellarWind,26.301098348955563,0.5601411376998158,0.5570091763884761,0.5629675932943883
2,StellarWind,28.087251038188583,0.5617544354806796,0.560343130444835,0.5647863836488796
3,WindAGN,2.1880370443097306,0.0018267552669272572,0.0005526608967109802,0.009527938121900777
3,WindAGN,3.0811133889262425,0.0024388588703967624,0.0007867541967145572,0.008784197593299778
3,WindAGN,4.867266078159267,0.0017788345110580422,0.0007275465451657033,0.004852792827940993
3,WindAGN,6.653418767392292,0.0021425966643501973,0.0010806716371321453,0.0046067307319650015
3,WindAGN,8.439571456625316,0.37673932305810437,0.2610635042754643,0.46735767742921586
3,WindAGN,10.22572414585834,0.432930376860023,0.3650518335765506,0.5164775814275647
3,WindAGN,12.011876835091366,0.47065592187695454,0.4128766510609073,0.5357610552971552
3,WindAGN,13.79802952432439,0.5022963768744901,0.4608980807768522,0.5438151864044432
3,WindAGN,15.584182213557414,0.5276967234561887,0.4722949912233914,0.5578967065235562
3,WindAGN,17.37033490279044,0.5317974906126847,0.49227546284358564,0.5549282883370182
3,WindAGN,19.156487592023463,0.5486966030876461,0.5192326279734732,0.558381782242784
3,WindAGN,20.942640281256487,0.5581028149107691,0.5473180867818142,0.5611519760357169
3,WindAGN,22.728792970489515,0.5617544354806796,0.5524020324790275,0.5642040073716603
3,WindAGN,24.514945659722535,0.560343130444835,0.5575140228651208,0.5632708557710657
3,WindAGN,26.301098348955563,0.5595429559419738,0.5551878632956782,0.5623409811639222
4,WindStrongAGN,2.1880370443097306,0.0015072120319410982,0.0004709683998659895,0.006557467742390422
4,WindStrongAGN,3.0811133889262425,0.0018942325116406505,0.0006900465784752065,0.005883858642434827
4,WindStrongAGN,4.867266078159267,0.0016534788542549147,0.0007127524838319965,0.004041415844404236
4,WindStrongAGN,6.653418767392292,0.002122614667584746,0.001046539749956445,0.0049499944811130635
4,WindStrongAGN,8.439571456625316,0.3519031826844202,0.27017658674355893,0.48103063824848274
4,WindStrongAGN,10.22572414585834,0.41695046460774765,0.35607347495845626,0.5018470774989378
4,WindStrongAGN,12.011876835091366,0.48172848019912407,0.42165769082059745,0.534948835225564
4,WindStrongAGN,13.79802952432439,0.5066438379974854,0.42289431648234077,0.5466486815605107
4,WindStrongAGN,15.584182213557414,0.5170107493868077,0.478851964826654,0.5474175837640181
4,WindStrongAGN,17.37033490279044,0.5463900802881572,0.514984223415725,0.5557784073733769
4,WindStrongAGN,19.156487592023463,0.5500278974659244,0.5390236978844138,0.5609496552456201
4,WindStrongAGN,20.942640281256487,0.5586066977638534,0.5466753426073132,0.5625653182650309
4,WindStrongAGN,22.728792970489515,0.5580192888502324,0.5563016619843671,0.5619570343775283
4,WindStrongAGN,24.514945659722535,0.5598382031988186,0.5562529975073003,0.5632189973986959
