feedback_class,class_name,depth_1_minus_f,local_ew_angstrom,count,density
1,NoFeedback,0.012820840182295097,6.911316839423444e-07,1,1.1806542713710229e-06
1,NoFeedback,0.012820840182295097,1.1041205241764472e-06,47,5.549075075443808e-05
1,NoFeedback,0.012820840182295097,1.7638926998018652e-06,287,0.0003388477758834836
1,NoFeedback,0.012820840182295097,2.817914700693581e-06,547,0.0006458178864399496
1,NoFeedback,0.012820840182295097,4.501772279729351e-06,309,0.0003648221698536461
1,NoFeedback,0.012820840182295097,7.191826513964913e-06,183,0.0002160597316608972
1,NoFeedback,0.012820840182295097,1.148933473153783e-05,513,0.0006056756412133348
1,NoFeedback,0.012820840182295097,1.8354838276062098e-05,1806,0.0021322616140960673
1,NoFeedback,0.012820840182295097,2.9322854282904214e-05,6196,0.007315333865414858
1,NoFeedback,0.012820840182295097,4.684485749012575e-05,15087,0.017812530992174624
1,NoFeedback,0.012820840182295097,7.483721237020207e-05,29606,0.03495445035821051
1,NoFeedback,0.012820840182295097,0.00011955652456672016,46915,0.05539039514137154
1,NoFeedback,0.012820840182295097,0.00019099806251153347,63643,0.07514037979286602
1,NoFeedback,0.012820840182295097,0.00030512981215677056,77211,0.09115949694682805
1,NoFeedback,0.012820840182295097,0.00048746150114064066,84170,0.099375670021299
1,NoFeedback,0.012820840182295097,0.0007787463093648891,84689,0.09998842958814057
1,NoFeedback,0.012820840182295097,0.0012440896623228223,78726,0.09294818816795515
1,NoFeedback,0.012820840182295097,0.0019875010247699244,67773,0.08001648193362834
1,NoFeedback,0.012820840182295097,0.003175141184025442,52987,0.06255932787713639
1,NoFeedback,0.012820840182295097,0.005072461051768028,30112,0.035551861419524246
1,NoFeedback,0.012820840182295097,0.008103532923560688,7872,0.009294110424232694
1,NoFeedback,0.012820840182295097,0.012945835398843203,993,0.0011723896914714257
1,NoFeedback,0.012820840182295097,0.020681677455356196,295,0.0003482930100544518
1,NoFeedback,0.012820840182295097,0.033040106658980835,157,0.0001853627206052506
1,NoFeedback,0.012820840182295097,0.052783370710295645,76,8.972972462419774e-05
1,NoFeedback,0.012820840182295097,0.08432431082310657,38,4.486486231209887e-05
1,NoFeedback,0.012820840182295097,0.13471268128780062,19,2.2432431156049436e-05
1,NoFeedback,0.012820840182295097,0.21521084871737584,12,1.4167851256452275e-05
1,NoFeedback,0.012820840182295097,0.3438110574512591,5,5.903271356855115e-06
1,NoFeedback,0.03846185732041733,0.0007787463093648891,2,2.3613085427420458e-06
1,NoFeedback,0.03846185732041733,0.0012440896623228223,11,1.2987196985081253e-05
1,NoFeedback,0.03846185732041733,0.0019875010247699244,165,0.0001948079547762188
1,NoFeedback,0.03846185732041733,0.003175141184025442,3558,0.0042007678975381
1,NoFeedback,0.03846185732041733,0.005072461051768028,17268,0.020387537958034826
1,NoFeedback,0.03846185732041733,0.008103532923560688,24832,0.02931800686668524
1,NoFeedback,0.03846185732041733,0.012945835398843203,11411,0.013472445890614743
1,NoFeedback,0.03846185732041733,0.020681677455356196,2159,0.0025490325718900385
1,NoFeedback,0.03846185732041733,0.033040106658980835,411,0.00048524890553349045
1,NoFeedback,0.03846185732041733,0.052783370710295645,96,0.0001133428100516182
1,NoFeedback,0.03846185732041733,0.08432431082310657,16,1.8890468341936366e-05
1,NoFeedback,0.03846185732041733,0.13471268128780062,8,9.445234170968183e-06
1,NoFeedback,0.03846185732041733,0.21521084871737584,1,1.1806542713710229e-06
1,NoFeedback,0.03846185732041733,0.3438110574512591,2,2.3613085427420458e-06
1,NoFeedback,0.06410287445853956,0.0019875010247699244,1,1.1806542713710229e-06
1,NoFeedback,0.06410287445853956,0.003175141184025442,9,1.0625888442339207e-05
1,NoFeedback,0.06410287445853956,0.005072461051768028,836,0.0009870269708661752
1,NoFeedback,0.06410287445853956,0.008103532923560688,8722,0.010297666554898062
1,NoFeedback,0.06410287445853956,0.012945835398843203,13935,0.016452417271555206
1,NoFeedback,0.06410287445853956,0.020681677455356196,6754,0.007974138948839889
1,NoFeedback,0.06410287445853956,0.033040106658980835,1405,0.0016588192512762873
1,NoFeedback,0.06410287445853956,0.052783370710295645,268,0.00031641534472743416
1,NoFeedback,0.06410287445853956,0.08432431082310657,83,9.79943045237949e-05
1,NoFeedback,0.06410287445853956,0.13471268128780062,4,4.7226170854840915e-06
1,NoFeedback,0.06410287445853956,0.3438110574512591,1,1.1806542713710229e-06
1,NoFeedback,0.08974389159666178,0.005072461051768028,3,3.541962814113069e-06
1,NoFeedback,0.08974389159666178,0.008103532923560688,804,0.0009492460341823024
1,NoFeedback,0.08974389159666178,0.012945835398843203,7581,0.008950540031263726
