feedback_class,class_name,line_density_lines_per_angstrom,mean_gap_angstrom,count,density
1,NoFeedback,1.1515273735707097,0.8455475083854711,11,0.00067138671875
1,NoFeedback,1.1515273735707097,0.9448845961330739,2,0.0001220703125
1,NoFeedback,1.2777109609827775,0.605920644112654,1,6.103515625e-05
1,NoFeedback,1.2777109609827775,0.6771057538733498,3,0.00018310546875
1,NoFeedback,1.2777109609827775,0.756653872719275,142,0.0086669921875
1,NoFeedback,1.2777109609827775,0.8455475083854711,16,0.0009765625
1,NoFeedback,1.4177216601922886,0.605920644112654,8,0.00048828125
1,NoFeedback,1.4177216601922886,0.6771057538733498,740,0.045166015625
1,NoFeedback,1.4177216601922886,0.756653872719275,168,0.01025390625
1,NoFeedback,1.5730746367178354,0.542219328165044,13,0.00079345703125
1,NoFeedback,1.5730746367178354,0.605920644112654,2424,0.14794921875
1,NoFeedback,1.5730746367178354,0.6771057538733498,993,0.06060791015625
1,NoFeedback,1.7454510868863495,0.48521502393486765,4,0.000244140625
1,NoFeedback,1.7454510868863495,0.542219328165044,2871,0.17523193359375
1,NoFeedback,1.7454510868863495,0.605920644112654,2158,0.1317138671875
1,NoFeedback,1.9367164313763021,0.4342036648690832,1,6.103515625e-05
1,NoFeedback,1.9367164313763021,0.48521502393486765,1867,0.11395263671875
1,NoFeedback,1.9367164313763021,0.542219328165044,2477,0.15118408203125
1,NoFeedback,2.1489405023970094,0.4342036648690832,579,0.03533935546875
1,NoFeedback,2.1489405023970094,0.48521502393486765,1261,0.07696533203125
1,NoFeedback,2.3844199429653363,0.3885552039523215,119,0.00726318359375
1,NoFeedback,2.3844199429653363,0.4342036648690832,467,0.02850341796875
1,NoFeedback,2.645703060679922,0.34770583192555665,6,0.0003662109375
1,NoFeedback,2.645703060679922,0.3885552039523215,49,0.00299072265625
1,NoFeedback,2.9356174049551083,0.34770583192555665,4,0.000244140625
2,StellarWind,0.9353142646510788,0.8455475083854711,1,6.103515625e-05
2,StellarWind,1.0378053664521476,0.8455475083854711,3,0.00018310546875
2,StellarWind,1.0378053664521476,0.9448845961330739,1,6.103515625e-05
2,StellarWind,1.1515273735707097,0.6771057538733498,1,6.103515625e-05
2,StellarWind,1.1515273735707097,0.756653872719275,5,0.00030517578125
2,StellarWind,1.1515273735707097,0.8455475083854711,19,0.00115966796875
2,StellarWind,1.1515273735707097,0.9448845961330739,1,6.103515625e-05
2,StellarWind,1.2777109609827775,0.48521502393486765,1,6.103515625e-05
2,StellarWind,1.2777109609827775,0.542219328165044,1,6.103515625e-05
2,StellarWind,1.2777109609827775,0.605920644112654,1,6.103515625e-05
2,StellarWind,1.2777109609827775,0.6771057538733498,5,0.00030517578125
2,StellarWind,1.2777109609827775,0.756653872719275,147,0.00897216796875
2,StellarWind,1.2777109609827775,0.8455475083854711,23,0.00140380859375
2,StellarWind,1.4177216601922886,0.605920644112654,11,0.00067138671875
2,StellarWind,1.4177216601922886,0.6771057538733498,808,0.04931640625
2,StellarWind,1.4177216601922886,0.756653872719275,181,0.01104736328125
2,StellarWind,1.5730746367178354,0.48521502393486765,3,0.00018310546875
2,StellarWind,1.5730746367178354,0.542219328165044,14,0.0008544921875
2,StellarWind,1.5730746367178354,0.605920644112654,2415,0.14739990234375
2,StellarWind,1.5730746367178354,0.6771057538733498,985,0.06011962890625
2,StellarWind,1.7454510868863495,0.3885552039523215,1,6.103515625e-05
2,StellarWind,1.7454510868863495,0.4342036648690832,1,6.103515625e-05
2,StellarWind,1.7454510868863495,0.48521502393486765,10,0.0006103515625
2,StellarWind,1.7454510868863495,0.542219328165044,2830,0.1727294921875
2,StellarWind,1.7454510868863495,0.605920644112654,2136,0.13037109375
2,StellarWind,1.9367164313763021,0.34770583192555665,2,0.0001220703125
2,StellarWind,1.9367164313763021,0.3885552039523215,1,6.103515625e-05
2,StellarWind,1.9367164313763021,0.4342036648690832,4,0.000244140625
2,StellarWind,1.9367164313763021,0.48521502393486765,1795,0.10955810546875
2,StellarWind,1.9367164313763021,0.542219328165044,2454,0.1497802734375
2,StellarWind,2.1489405023970094,0.3885552039523215,3,0.00018310546875
2,StellarWind,2.1489405023970094,0.4342036648690832,607,0.03704833984375
2,StellarWind,2.1489405023970094,0.48521502393486765,1262,0.0770263671875
2,StellarWind,2.3844199429653363,0.3885552039523215,117,0.00714111328125
2,StellarWind,2.3844199429653363,0.4342036648690832,454,0.0277099609375
2,StellarWind,2.645703060679922,0.34770583192555665,15,0.00091552734375
2,StellarWind,2.645703060679922,0.3885552039523215,50,0.0030517578125
2,StellarWind,2.9356174049551083,0.249166533580527,1,6.103515625e-05
2,StellarWind,2.9356174049551083,0.27843925636025163,1,6.103515625e-05
2,StellarWind,2.9356174049551083,0.3111510136147312,2,0.0001220703125
2,StellarWind,2.9356174049551083,0.34770583192555665,4,0.000244140625
2,StellarWind,3.614233127725792,0.15978157241243393,1,6.103515625e-05
2,StellarWind,3.614233127725792,0.19952999906794,1,6.103515625e-05
2,StellarWind,4.01027833886638,0.14298350400901116,1,6.103515625e-05
2,StellarWind,4.449721915227002,0.2229712945943589,1,6.103515625e-05
2,StellarWind,6.744756687104547,0.1024621987380135,1,6.103515625e-05
2,StellarWind,7.483842543449692,0.06570533767892248,1,6.103515625e-05
2,StellarWind,10.223502419908131,0.1024621987380135,1,6.103515625e-05
2,StellarWind,19.078746133815084,0.04213447937555873,1,6.103515625e-05
3,WindAGN,1.0378053664521476,0.8455475083854711,1,6.103515625e-05
3,WindAGN,1.0378053664521476,0.9448845961330739,4,0.000244140625
3,WindAGN,1.1515273735707097,0.6771057538733498,1,6.103515625e-05
3,WindAGN,1.1515273735707097,0.756653872719275,2,0.0001220703125
3,WindAGN,1.1515273735707097,0.8455475083854711,34,0.0020751953125
3,WindAGN,1.1515273735707097,0.9448845961330739,2,0.0001220703125
3,WindAGN,1.2777109609827775,0.6771057538733498,3,0.00018310546875
3,WindAGN,1.2777109609827775,0.756653872719275,263,0.01605224609375
3,WindAGN,1.2777109609827775,0.8455475083854711,40,0.00244140625
3,WindAGN,1.4177216601922886,0.542219328165044,1,6.103515625e-05
3,WindAGN,1.4177216601922886,0.605920644112654,12,0.000732421875
3,WindAGN,1.4177216601922886,0.6771057538733498,1102,0.0672607421875
3,WindAGN,1.4177216601922886,0.756653872719275,274,0.0167236328125
3,WindAGN,1.5730746367178354,0.542219328165044,25,0.00152587890625
3,WindAGN,1.5730746367178354,0.605920644112654,2891,0.17645263671875
3,WindAGN,1.5730746367178354,0.6771057538733498,1252,0.076416015625
3,WindAGN,1.7454510868863495,0.4342036648690832,2,0.0001220703125
3,WindAGN,1.7454510868863495,0.48521502393486765,10,0.0006103515625
3,WindAGN,1.7454510868863495,0.542219328165044,2831,0.17279052734375
3,WindAGN,1.7454510868863495,0.605920644112654,2215,0.13519287109375
3,WindAGN,1.9367164313763021,0.3885552039523215,1,6.103515625e-05
3,WindAGN,1.9367164313763021,0.4342036648690832,4,0.000244140625
3,WindAGN,1.9367164313763021,0.48521502393486765,1497,0.09136962890625
3,WindAGN,1.9367164313763021,0.542219328165044,2148,0.131103515625
3,WindAGN,2.1489405023970094,0.3885552039523215,1,6.103515625e-05
3,WindAGN,2.1489405023970094,0.4342036648690832,437,0.02667236328125
3,WindAGN,2.1489405023970094,0.48521502393486765,937,0.05718994140625
3,WindAGN,2.3844199429653363,0.249166533580527,1,6.103515625e-05
3,WindAGN,2.3844199429653363,0.3111510136147312,1,6.103515625e-05
3,WindAGN,2.3844199429653363,0.3885552039523215,72,0.00439453125
3,WindAGN,2.3844199429653363,0.4342036648690832,281,0.01715087890625
3,WindAGN,2.645703060679922,0.2229712945943589,1,6.103515625e-05
3,WindAGN,2.645703060679922,0.34770583192555665,4,0.000244140625
3,WindAGN,2.645703060679922,0.3885552039523215,25,0.00152587890625
3,WindAGN,2.9356174049551083,0.2229712945943589,1,6.103515625e-05
3,WindAGN,2.9356174049551083,0.249166533580527,1,6.103515625e-05
3,WindAGN,2.9356174049551083,0.34770583192555665,3,0.00018310546875
3,WindAGN,3.614233127725792,0.27843925636025163,1,6.103515625e-05
3,WindAGN,4.449721915227002,0.14298350400901116,1,6.103515625e-05
3,WindAGN,4.937319420189799,0.19952999906794,1,6.103515625e-05
3,WindAGN,6.744756687104547,0.04213447937555873,1,6.103515625e-05
4,WindStrongAGN,0.36688703944148565,2.0561938376976903,1,6.103515625e-05
4,WindStrongAGN,0.36688703944148565,2.8693684447226007,1,6.103515625e-05
4,WindStrongAGN,0.40709027201264486,2.5677075793215653,1,6.103515625e-05
4,WindStrongAGN,0.45169894750059725,2.0561938376976903,1,6.103515625e-05
4,WindStrongAGN,0.501195811347734,1.646578890927702,1,6.103515625e-05
4,WindStrongAGN,0.501195811347734,1.840023197899591,2,0.0001220703125
4,WindStrongAGN,0.501195811347734,2.0561938376976903,3,0.00018310546875
4,WindStrongAGN,0.5561165079141154,1.646578890927702,1,6.103515625e-05
4,WindStrongAGN,0.5561165079141154,1.840023197899591,3,0.00018310546875
4,WindStrongAGN,0.6170553771049359,1.3185634517242018,1,6.103515625e-05
4,WindStrongAGN,0.6170553771049359,1.4734716644570534,10,0.0006103515625
4,WindStrongAGN,0.6170553771049359,1.646578890927702,20,0.001220703125
4,WindStrongAGN,0.6846718861884916,1.3185634517242018,28,0.001708984375
4,WindStrongAGN,0.6846718861884916,1.4734716644570534,55,0.00335693359375
4,WindStrongAGN,0.6846718861884916,1.646578890927702,2,0.0001220703125
4,WindStrongAGN,0.7596977664083904,1.1799409640249083,30,0.0018310546875
4,WindStrongAGN,0.7596977664083904,1.3185634517242018,106,0.0064697265625
4,WindStrongAGN,0.7596977664083904,1.4734716644570534,6,0.0003662109375
4,WindStrongAGN,0.8429449316208804,0.9448845961330739,3,0.00018310546875
4,WindStrongAGN,0.8429449316208804,1.0558920594708276,95,0.00579833984375
4,WindStrongAGN,0.8429449316208804,1.1799409640249083,289,0.01763916015625
4,WindStrongAGN,0.8429449316208804,1.3185634517242018,26,0.0015869140625
4,WindStrongAGN,0.9353142646510788,0.756653872719275,1,6.103515625e-05
4,WindStrongAGN,0.9353142646510788,0.8455475083854711,5,0.00030517578125
4,WindStrongAGN,0.9353142646510788,0.9448845961330739,179,0.01092529296875
4,WindStrongAGN,0.9353142646510788,1.0558920594708276,722,0.0440673828125
4,WindStrongAGN,0.9353142646510788,1.1799409640249083,35,0.00213623046875
4,WindStrongAGN,1.0378053664521476,0.756653872719275,5,0.00030517578125
4,WindStrongAGN,1.0378053664521476,0.8455475083854711,216,0.01318359375
4,WindStrongAGN,1.0378053664521476,0.9448845961330739,1182,0.0721435546875
4,WindStrongAGN,1.0378053664521476,1.0558920594708276,86,0.0052490234375
4,WindStrongAGN,1.1515273735707097,0.542219328165044,1,6.103515625e-05
4,WindStrongAGN,1.1515273735707097,0.6771057538733498,2,0.0001220703125
4,WindStrongAGN,1.1515273735707097,0.756653872719275,156,0.009521484375
4,WindStrongAGN,1.1515273735707097,0.8455475083854711,1961,0.11968994140625
4,WindStrongAGN,1.1515273735707097,0.9448845961330739,275,0.01678466796875
4,WindStrongAGN,1.2777109609827775,0.542219328165044,2,0.0001220703125
4,WindStrongAGN,1.2777109609827775,0.6771057538733498,149,0.00909423828125
4,WindStrongAGN,1.2777109609827775,0.756653872719275,2850,0.1739501953125
4,WindStrongAGN,1.2777109609827775,0.8455475083854711,859,0.05242919921875
4,WindStrongAGN,1.4177216601922886,0.542219328165044,1,6.103515625e-05
4,WindStrongAGN,1.4177216601922886,0.605920644112654,70,0.0042724609375
4,WindStrongAGN,1.4177216601922886,0.6771057538733498,2296,0.14013671875
4,WindStrongAGN,1.4177216601922886,0.756653872719275,1023,0.06243896484375
4,WindStrongAGN,1.5730746367178354,0.542219328165044,27,0.00164794921875
4,WindStrongAGN,1.5730746367178354,0.605920644112654,1325,0.08087158203125
4,WindStrongAGN,1.5730746367178354,0.6771057538733498,1148,0.070068359375
4,WindStrongAGN,1.7454510868863495,0.4342036648690832,1,6.103515625e-05
4,WindStrongAGN,1.7454510868863495,0.48521502393486765,8,0.00048828125
4,WindStrongAGN,1.7454510868863495,0.542219328165044,429,0.02618408203125
4,WindStrongAGN,1.7454510868863495,0.605920644112654,416,0.025390625
4,WindStrongAGN,1.9367164313763021,0.48521502393486765,88,0.00537109375
4,WindStrongAGN,1.9367164313763021,0.542219328165044,154,0.0093994140625
4,WindStrongAGN,2.1489405023970094,0.4342036648690832,2,0.0001220703125
4,WindStrongAGN,2.1489405023970094,0.48521502393486765,16,0.0009765625
4,WindStrongAGN,2.3844199429653363,0.3111510136147312,1,6.103515625e-05
4,WindStrongAGN,2.3844199429653363,0.3885552039523215,2,0.0001220703125
4,WindStrongAGN,2.3844199429653363,0.4342036648690832,3,0.00018310546875
4,WindStrongAGN,2.9356174049551083,0.3111510136147312,1,6.103515625e-05
4,WindStrongAGN,3.614233127725792,0.17855312093191464,1,6.103515625e-05
4,WindStrongAGN,4.937319420189799,0.09169019920653115,1,6.103515625e-05
