M,alpha,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
256,0.1,43,3,51,13,0.39285714285714285,0.2106776237487793
256,0.1,43,4,51,13,0.5714285714285714,0.21032953262329102
256,0.1,43,5,52,12,0.5,0.2138228416442871
256,0.2,43,1,51,13,0.6071428571428572,0.19446492195129395
256,0.2,43,2,51,13,0.7857142857142857,0.22313952445983887
256,0.2,43,3,51,13,0.7023809523809523,0.20610928535461426
256,0.2,43,4,51,13,0.7023809523809523,0.21129226684570312
256,0.2,43,5,52,12,0.75,0.22317218780517578
256,0.5,43,1,51,13,1.0,0.20416903495788574
256,0.5,43,2,51,13,0.9285714285714286,0.1986844539642334
256,0.5,43,3,51,13,0.9285714285714286,0.20184922218322754
256,0.5,43,4,51,13,1.0,0.20518922805786133
256,0.5,43,5,52,12,0.8333333333333334,0.19594192504882812
256,1.0,43,1,51,13,1.0,0.1943531036376953
256,1.0,43,2,51,13,1.0,0.20186161994934082
256,1.0,43,3,51,13,1.0,0.19680500030517578
256,1.0,43,4,51,13,1.0,0.1986677646636963
256,1.0,43,5,52,12,0.9166666666666667,0.2026371955871582
64,0.0,44,1,204,52,0.4423076923076923,0.22379326820373535
64,0.0,44,2,205,51,0.37384615384615383,0.22032880783081055
64,0.0,44,3,205,51,0.53,0.2143237590789795
64,0.0,44,4,205,51,0.3523076923076923,0.2125720977783203
64,0.0,44,5,205,51,0.37,0.22855424880981445
64,0.01,44,1,204,52,0.6538461538461539,0.21949267387390137
64,0.01,44,2,205,51,0.5715384615384616,0.21213269233703613
64,0.01,44,3,205,51,0.6861538461538461,0.23029613494873047
64,0.01,44,4,205,51,0.49230769230769234,0.22070932388305664
64,0.01,44,5,205,51,0.5876923076923077,0.21302580833435059
64,0.02,44,1,204,52,0.5769230769230769,0.21975207328796387
64,0.02,44,2,205,51,0.5707692307692308,0.21382451057434082
64,0.02,44,3,205,51,0.6646153846153846,0.21430253982543945
64,0.02,44,4,205,51,0.5307692307692308,0.21736502647399902
64,0.02,44,5,205,51,0.5692307692307692,0.22365903854370117
64,0.05,44,1,204,52,0.7115384615384615,0.2180626392364502
64,0.05,44,2,205,51,0.6307692307692307,0.21228480339050293
64,0.05,44,3,205,51,0.7453846153846153,0.21741819381713867
