regime,M,pair,seed,fold,n_train_groups,n_test_groups,balanced_acc,exploratory_flag,runtime_sec
per_sightline,1,C3-C4,43,4,26215,6553,0.7727710020966048,0,2.237340211868286
per_sightline,1,C3-C4,43,5,26215,6553,0.7680523838213799,0,2.2352728843688965
per_sightline,1,C4-rest,43,1,52428,13108,0.7503814464449191,0,5.991544961929321
per_sightline,1,C4-rest,43,2,52429,13107,0.7511761498258294,0,5.848243236541748
per_sightline,1,C4-rest,43,3,52429,13107,0.747429586460832,0,6.004960298538208
per_sightline,1,C4-rest,43,4,52429,13107,0.7517015382962917,0,6.106307506561279
per_sightline,1,C4-rest,43,5,52429,13107,0.7554143819977767,0,5.811334133148193
per_sightline,1,C1-C2,44,1,26214,6554,0.2863899908452853,0,4.006243705749512
per_sightline,1,C1-C2,44,2,26214,6554,0.2815074763503204,0,3.812652826309204
per_sightline,1,C1-C2,44,3,26214,6554,0.2918828196521208,0,3.8018035888671875
per_sightline,1,C1-C2,44,4,26215,6553,0.2862747651426321,0,3.9855470657348633
per_sightline,1,C1-C2,44,5,26215,6553,0.2904053783669286,0,3.9366958141326904
per_sightline,1,C1-C3,44,1,26214,6554,0.41318278913640527,0,2.962465286254883
per_sightline,1,C1-C3,44,2,26214,6554,0.4162343606957583,0,2.9507343769073486
per_sightline,1,C1-C3,44,3,26214,6554,0.4133353677143729,0,2.942211389541626
per_sightline,1,C1-C3,44,4,26215,6553,0.4124776488218661,0,2.9521138668060303
per_sightline,1,C1-C3,44,5,26215,6553,0.40592557257952433,0,3.0697519779205322
per_sightline,1,C1-C4,44,1,26214,6554,0.7898992981385413,0,2.352506637573242
per_sightline,1,C1-C4,44,2,26214,6554,0.8001220628623741,0,2.2975194454193115
per_sightline,1,C1-C4,44,3,26214,6554,0.789594140982606,0,2.264538526535034
per_sightline,1,C1-C4,44,4,26215,6553,0.7840615374182662,0,2.2985892295837402
per_sightline,1,C1-C4,44,5,26215,6553,0.7920079657568214,0,2.328385591506958
per_sightline,1,C2-C3,44,1,26214,6554,0.35291425083918215,0,2.7191925048828125
per_sightline,1,C2-C3,44,2,26214,6554,0.36451022276472383,0,2.896332025527954
per_sightline,1,C2-C3,44,3,26214,6554,0.36084833689350015,0,2.828672409057617
per_sightline,1,C2-C3,44,4,26215,6553,0.3596824334923206,0,2.9021918773651123
per_sightline,1,C2-C3,44,5,26215,6553,0.3583097851865017,0,2.8617541790008545
per_sightline,1,C2-C4,44,1,26214,6554,0.7766249618553556,0,2.200559616088867
per_sightline,1,C2-C4,44,2,26214,6554,0.7982911199267623,0,2.2868924140930176
per_sightline,1,C2-C4,44,3,26214,6554,0.7798291119926762,0,2.2582602500915527
per_sightline,1,C2-C4,44,4,26215,6553,0.7814674687195285,0,2.207535982131958
per_sightline,1,C2-C4,44,5,26215,6553,0.7862098866447356,0,2.2570998668670654
per_sightline,1,C3-C4,44,1,26214,6554,0.7667073542874581,0,2.2584869861602783
per_sightline,1,C3-C4,44,2,26214,6554,0.7801342691486115,0,2.2875962257385254
per_sightline,1,C3-C4,44,3,26214,6554,0.7651815685077814,0,2.217895746231079
per_sightline,1,C3-C4,44,4,26215,6553,0.7622392145202643,0,2.274433135986328
per_sightline,1,C3-C4,44,5,26215,6553,0.7683553053937553,0,2.2617785930633545
per_sightline,1,C4-rest,44,1,52428,13108,0.7526701251144339,0,5.81953239440918
per_sightline,1,C4-rest,44,2,52429,13107,0.7456314834251971,0,5.854020357131958
per_sightline,1,C4-rest,44,3,52429,13107,0.7567877133733028,0,6.015076160430908
per_sightline,1,C4-rest,44,4,52429,13107,0.7535834235404377,0,6.024811506271362
per_sightline,1,C4-rest,44,5,52429,13107,0.7503793199682984,0,6.1112754344940186
per_sightline,1,C1-C2,45,1,26214,6554,0.29264571254195915,0,4.006627082824707
per_sightline,1,C1-C2,45,2,26214,6554,0.30042722001830946,0,3.924511671066284
per_sightline,1,C1-C2,45,3,26214,6554,0.2989014342386329,0,4.12230920791626
per_sightline,1,C1-C2,45,4,26215,6553,0.2939049515567672,0,3.8879454135894775
per_sightline,1,C1-C2,45,5,26215,6553,0.29452961086314766,0,3.7665891647338867
per_sightline,1,C1-C3,45,1,26214,6554,0.408910588953311,0,2.9411871433258057
per_sightline,1,C1-C3,45,2,26214,6554,0.41440341776014644,0,2.906186819076538
per_sightline,1,C1-C3,45,3,26214,6554,0.423863289594141,0,2.9366164207458496
per_sightline,1,C1-C3,45,4,26215,6553,0.4260600298897522,0,2.9348347187042236
per_sightline,1,C1-C3,45,5,26215,6553,0.4222554858426082,0,2.9081897735595703
per_sightline,1,C1-C4,45,1,26214,6554,0.7935611840097649,0,2.3568646907806396
per_sightline,1,C1-C4,45,2,26214,6554,0.7892889838266708,0,2.325791120529175
per_sightline,1,C1-C4,45,3,26214,6554,0.7970704913030211,0,2.298025131225586
per_sightline,1,C1-C4,45,4,26215,6553,0.7953553795406099,0,2.359604835510254
