M,task,feature_set,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
1,4class,fbar_var,42,4,52429,13107,0.3167738535834355,1.9675707817077637
1,4class,fbar_var,42,5,52429,13107,0.31509516320318887,1.9979121685028076
1,C1-C2,fbar,43,1,26214,6554,0.503509307293256,1.6112923622131348
1,C1-C2,fbar,43,2,26214,6554,0.5096124504119621,1.5393667221069336
1,C1-C2,fbar,43,3,26214,6554,0.49359169972535855,1.495056390762329
1,C1-C2,fbar,43,4,26215,6553,0.5016027736885229,1.6229429244995117
1,C1-C2,fbar,43,5,26215,6553,0.5054154217260718,1.6079638004302979
1,C1-C3,fbar,43,1,26214,6554,0.5042722001830944,1.5577068328857422
1,C1-C3,fbar,43,2,26214,6554,0.49954226426609705,1.4185030460357666
1,C1-C3,fbar,43,3,26214,6554,0.5080866646322857,1.404414176940918
1,C1-C3,fbar,43,4,26215,6553,0.500227237753939,1.4475114345550537
1,C1-C3,fbar,43,5,26215,6553,0.49397216810247024,1.4639132022857666
1,C1-C4,fbar,43,1,26214,6554,0.5555386023802258,1.2038180828094482
1,C1-C4,fbar,43,2,26214,6554,0.5436374732987488,1.1215126514434814
1,C1-C4,fbar,43,3,26214,6554,0.5509612450411963,1.1401848793029785
1,C1-C4,fbar,43,4,26215,6553,0.5574544509164588,1.1206376552581787
1,C1-C4,fbar,43,5,26215,6553,0.5460102657997075,1.1421713829040527
1,C2-C3,fbar,43,1,26214,6554,0.49572779981690573,1.9583821296691895
1,C2-C3,fbar,43,2,26214,6554,0.5070186145865121,2.2417104244232178
1,C2-C3,fbar,43,3,26214,6554,0.49847421422032345,1.7205348014831543
1,C2-C3,fbar,43,4,26215,6553,0.49641412396981516,2.013070821762085
