k_s_per_km,deltaP_C4_C2,deltaP_C3_C2,beta
0.0013838186246550594,-0.9188583613089211,-0.4695209197076802,0.5394781024028324
0.0019570150668516686,0.0,0.0,0.5394781024028324
0.002767637249310119,-0.7050272659875307,-0.40889075260112195,0.5394781024028324
0.003914030133703338,-0.47518583816653065,-0.2789985505932552,0.5394781024028324
0.0055352744986202395,-0.35160206470541594,-0.1979348412578763,0.5394781024028324
0.007828060267406673,-0.2383459359541428,-0.11920803259559415,0.5394781024028324
0.011070548997240472,-0.15110817748807442,-0.05799957903811914,0.5394781024028324
0.01565612053481335,-0.09675956608541214,-0.029708513509931395,0.5394781024028324
0.02214109799448095,-0.06141138855022851,-0.0158895234805998,0.5394781024028324
0.0313122410696267,-0.038430342118598707,-0.00825154931182541,0.5394781024028324
0.0442821959889619,-0.02199804731902963,-0.0037919118936324547,0.5394781024028324
0.0626244821392534,-0.010664217267085338,-0.0017289721075787086,0.5394781024028324
0.08856439197792378,-0.0035792653436401813,-0.0005411239481099717,0.5394781024028324
0.12524896427850676,-0.0007202837756826323,-0.0001224216350785485,0.5394781024028324
0.17712878395584758,-8.7342061853334e-05,-1.7477025459882502e-05,0.5394781024028324
0.2504979285570136,-5.6562970221927686e-06,-2.8291887276940285e-06,0.5394781024028324
0.3542575679116952,-4.5789200466566297e-07,-4.6615002630817183e-07,0.5394781024028324
0.5009958571140272,-5.6294889634514005e-08,-6.458250996349199e-08,0.5394781024028324
0.7085151358233904,-6.128946438208691e-09,-7.013560424465334e-09,0.5394781024028324
1.0019917142280546,-9.978588480995268e-10,-1.0242220874459847e-09,0.5394781024028324
