k_bin_idx,k_center_s_per_km,importance
0,0.001957015066871626,0.04799059253179803
1,0.0027676372493383432,0.0
2,0.003914030133743252,0.04693823160609064
3,0.005535274498676687,0.04452962703602385
4,0.007828060267486503,0.04339834030975337
5,0.011070548997353364,0.043558679244144805
6,0.015656120534973,0.04248475381304071
7,0.022141097994706732,0.04304171395520599
8,0.031312241069946,0.04361328013053033
9,0.04428219598941346,0.04457944566091032
10,0.06262448213989197,0.048193406256762335
11,0.0885643919788269,0.05318145353737288
12,0.12524896427978394,0.05788816100487217
13,0.17712878395765375,0.06350328093889505
14,0.2504979285595679,0.07238107072148443
15,0.3542575679153076,0.0736461413182953
16,0.5009958571191357,0.07205519518545234
17,0.7085151358306152,0.08654717291134344
18,1.001991714238272,0.07246945383802395
