k_bin_idx,k_center_s_per_km,importance
0,0.0013838186246691714,0.0
1,0.001957015066871626,0.04018590439583414
2,0.0027676372493383432,0.0
3,0.003914030133743252,0.04128321495217915
4,0.005535274498676687,0.03725115922745679
5,0.007828060267486503,0.029488042903550837
6,0.011070548997353364,0.031143045700809
7,0.015656120534973,0.029470765092176922
8,0.022141097994706732,0.029912584007951153
9,0.031312241069946,0.034095178373855714
10,0.04428219598941346,0.0619706454654512
11,0.06262448213989197,0.12260022798314564
12,0.0885643919788269,0.11223074921005387
13,0.12524896427978394,0.09517451019937738
14,0.17712878395765375,0.05076730133892568
15,0.2504979285595679,0.041352472341869125
16,0.3542575679153076,0.039443291041340776
17,0.5009958571191357,0.04737785610718786
18,0.7085151358306152,0.06935417920410747
19,1.001991714238272,0.08689887245472735
