regime,variant,M,n_train,n_test,balanced_acc_test,high_k_importance_fraction
per_sightline,per_sightline,1,52428,13108,0.2937137625877327,0.4598489947481264
per_sightline,stacked_pk,4,13107,3277,0.45534448613716905,0.4991868442938605
per_sightline,stacked_pk,16,3276,820,0.5439024390243903,0.4839453585412897
per_sightline,stacked_pk,64,819,205,0.6992835595776773,0.4303684826875357
global,per_sightline,1,52428,13108,0.29340860543179736,0.4586053532120017
global,stacked_pk,4,13107,3277,0.45779021114386964,0.49849047591836676
global,stacked_pk,16,3276,820,0.5475609756097561,0.4883570081207326
global,stacked_pk,64,819,205,0.704185520361991,0.43396608427138095
