k_bin_idx,k_center_s_per_km,importance
0,0.001957015066871626,0.043226142984729904
1,0.0027676372493383432,0.0
2,0.003914030133743252,0.03715950754560145
3,0.005535274498676687,0.036725689300300825
4,0.007828060267486503,0.03261475359150843
5,0.011070548997353364,0.02967344286974025
6,0.015656120534973,0.030504745392438578
7,0.022141097994706732,0.029643936494037314
8,0.031312241069946,0.03290857243826861
9,0.04428219598941346,0.061960101831897964
10,0.06262448213989197,0.10556350071808894
11,0.0885643919788269,0.12605352256200675
12,0.12524896427978394,0.09635970795110584
13,0.17712878395765375,0.05397388054069949
14,0.2504979285595679,0.03794641102550521
15,0.3542575679153076,0.03878437137965245
16,0.5009958571191357,0.04481175846673659
17,0.7085151358306152,0.06709336727498699
18,1.001991714238272,0.09499658763269438
