,pred_1,pred_2,pred_3,pred_4
true_1,0.6634146341463415,0.13170731707317074,0.18048780487804877,0.024390243902439025
true_2,0.36585365853658536,0.36097560975609755,0.24390243902439024,0.02926829268292683
true_3,0.3853658536585366,0.28292682926829266,0.25853658536585367,0.07317073170731707
true_4,0.01951219512195122,0.04878048780487805,0.03902439024390244,0.8926829268292683
