k_bin_idx,k_center_s_per_km,importance
0,0.0013838186246691714,0.0
1,0.001957015066871626,0.04304297595151626
2,0.0027676372493383432,0.0
3,0.003914030133743252,0.04281820111278943
4,0.005535274498676687,0.04001105141772735
5,0.007828060267486503,0.03782036256882612
6,0.011070548997353364,0.038601619973053065
7,0.015656120534973,0.03848047209274443
8,0.022141097994706732,0.03837259976229606
9,0.031312241069946,0.03960074995827348
10,0.04428219598941346,0.04303532035600421
11,0.06262448213989197,0.07156667393279785
12,0.0885643919788269,0.08270461433268213
13,0.12524896427978394,0.08488027081838845
14,0.17712878395765375,0.06671185535113337
15,0.2504979285595679,0.06467067732499758
16,0.3542575679153076,0.0652712136204434
17,0.5009958571191357,0.06299003335510435
18,0.7085151358306152,0.07061811526623686
19,1.001991714238272,0.0688031928049857
