wavelet_cluster,wavelet_size,wavelet_pct,best_raw_match,overlap_count,overlap_pct,regime
0,5009,30.572509765625,1,2828,56.458374925134756,bulk
1,4937,30.133056640625,0,3476,70.40712983593275,bulk
2,5211,31.805419921875,3,552,10.592976396085204,bulk
3,617,3.765869140625,4,148,23.987034035656404,signal_island
4,610,3.72314453125,2,207,33.9344262295082,signal_island
