dimension,wavelet_mean,wavelet_std,wavelet_min,wavelet_max,raw_mean,raw_std,raw_min,raw_max
0,-0.14596826369241192,0.19273630686212984,-0.9416675332563587,-0.0014819397142794566,-0.071351216628075,0.1255529013546994,-0.9813323910306444,-9.810540271582013e-05
1,0.14596826369241192,0.19273630686212984,0.0014819397142794566,0.9416675332563587,0.071351216628075,0.1255529013546994,9.810540271582013e-05,0.9813323910306444
2,-0.0051720449685615285,0.15486049703703347,-0.864181442477377,0.8552055005306528,0.0032256380039041,0.11948025725125809,-0.9804262587062101,0.8418895901614682
3,-0.028150370435742266,0.1417932435971212,-0.8656457474313813,0.8575814815474804,-0.03786362258710886,0.12492705062091497,-0.9748153939620472,0.9725825368451989
4,-0.22722242499388196,0.19751766488212408,-0.953077765777582,-0.003646508075975996,-0.15406807011761445,0.17420887845054406,-0.9799848720696064,-0.0001949028754480997
5,-0.07878063369484292,0.16709384165096322,-0.8759043039555897,0.8559763362665653,-0.07686332107921047,0.17251424991173211,-0.9582605242363554,0.8912771375248757
6,0.22722242499388196,0.19751766488212408,0.003646508075975996,0.953077765777582,0.15406807011761445,0.17420887845054406,0.0001949028754480997,0.9799848720696064
7,0.01632440983776122,0.15124640601737854,-0.8634598622385404,0.8300589286853464,-0.01785423471843291,0.17258181904165748,-0.9504008931888315,0.9020621056075775
8,-0.6088566935587467,0.1958190549181539,-0.9582809873735515,-0.01814570955670758,-0.46230782312883306,0.2447795735268275,-0.9788962999908243,-0.0012238250404463802
9,-0.4471052120191694,0.23296784795333153,-0.9142816161310671,0.837409677411317,-0.3996196005233008,0.26005636991860626,-0.9723397633371221,0.9642638824281369
10,-0.31289990270439105,0.24600663644301643,-0.9098606575614558,0.8291215868226856,-0.2803753644370229,0.2638054212876266,-0.9649151277342902,0.9142336913068236
11,0.6088566935587467,0.1958190549181539,0.01814570955670758,0.9582809873735515,0.46230782312883306,0.2447795735268275,0.0012238250404463802,0.9788962999908243
12,-0.07290502217853384,0.20879011984671184,-0.8719492106875967,0.8641726894831098,-0.07411688686848893,0.1685498924014159,-0.9604816692501772,0.9805669958728538
13,-0.21560280916565053,0.21360593612044043,-0.9677013274001733,-0.001737309666601683,-0.1399758720918379,0.18013674897894788,-0.9813034419281588,-0.00013277092229468934
14,0.21560280916565053,0.21360593612044043,0.001737309666601683,0.9677013274001733,0.1399758720918379,0.18013674897894788,0.00013277092229468934,0.9813034419281588
15,0.043793455950900465,0.1617332998310417,-0.8634104108192449,0.8637506252057177,0.018150094714567834,0.17592870037911057,-0.9530631752589904,0.9665080941972598
16,-0.41551945581261907,0.29340512314970985,-0.9045906714404636,0.8641029937542597,-0.3477996486666406,0.26645355436988905,-0.9738293427742046,0.9736316729317058
17,-0.6079106251822013,0.20155259955209348,-0.9631309244805997,-0.005246415754548539,-0.467560880426877,0.25284984887977086,-0.9816324833313529,-0.0014352846514977813
18,-0.30595269779737677,0.28471583355064406,-0.9043418584067624,0.8745178630359449,-0.27431814879924965,0.28247946821162706,-0.9639087639512322,0.9660049686013911
19,0.6079106251822013,0.20155259955209348,0.005246415754548539,0.9631309244805997,0.467560880426877,0.25284984887977086,0.0014352846514977813,0.9816324833313529
20,-0.3288816481465656,0.26549547188472244,-0.8756907331666937,0.8634142362378336,-0.25491800760472405,0.25608768074201005,-0.9672874959339937,0.9551031664755236
21,-0.3520465202558256,0.25525728003090864,-0.9054782926775811,0.8633207326168051,-0.2902017632146765,0.25163716800103086,-0.9648269062785453,0.9588583516981694
22,-0.5873027073759537,0.20902116354801112,-0.9706109422884891,-0.013005225325590786,-0.4592287110070432,0.25103208158943424,-0.9813721861759496,-0.0014194969099347032
23,0.5873027073759537,0.20902116354801112,0.013005225325590786,0.9706109422884891,0.4592287110070432,0.25103208158943424,0.0014194969099347032,0.9813721861759496
