run_flavor,cluster_id,cluster_size,train_samples,test_f1_score,test_accuracy,cv_f1_score,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
wavelet,0,6960,22272.0,0.3471014591931166,0.3464439655172414,0.3888381011372541,25,sqrt,100,100,100
wavelet,1,503,1609.6000000000001,0.2744462953218747,0.27791563275434245,0.33958798883027774,25,0.1,50,200,100
wavelet,2,5306,16979.2,0.3318937011480768,0.3309776207302709,0.37237169551409055,25,sqrt,100,100,100
wavelet,3,731,2339.2000000000003,0.31678022604010564,0.3264957264957265,0.3489168081377853,25,sqrt,50,200,100
wavelet,4,2884,9228.800000000001,0.3441314879305579,0.3466204506065858,0.3868216628519446,25,sqrt,100,100,100
