cluster,size,pct_total,mean_l2,max_l2,centroid_magnitude
0,6960,42.48046875,1.5343379824255543,2.9894278995121586,2.5301485973792075
1,503,3.070068359375,7.80364076996704,8.750973846705413,9.776714582893087
2,5306,32.38525390625,4.426054279935149,5.197691094865501,3.3303628803838876
3,731,4.461669921875,7.7650139303504,9.10783406661767,9.61622924325152
4,2884,17.6025390625,2.3395391378437793,3.815562370529922,3.019989276417098
