dimension,wavelet_mean,wavelet_std,wavelet_min,wavelet_max,raw_mean,raw_std,raw_min,raw_max
0,-0.42108991151431513,0.14142649832707285,-0.9574464916885028,-0.07575502746759111,-0.071351216628075,0.1255529013546994,-0.9813323910306444,-9.810540271582013e-05
1,0.42108991151431513,0.14142649832707285,0.07575502746759111,0.9574464916885028,0.071351216628075,0.1255529013546994,9.810540271582013e-05,0.9813323910306444
2,0.2972069208619399,0.21274480204527965,-0.8638070561737281,0.8636010914316579,0.0032256380039041,0.11948025725125809,-0.9804262587062101,0.8418895901614682
3,0.28039766214508743,0.20917430171634546,-0.8630820363069275,0.8616415507017263,-0.03786362258710886,0.12492705062091497,-0.9748153939620472,0.9725825368451989
4,-0.46134157705762213,0.14410441854198033,-0.9527769221685286,-0.046587864361331555,-0.15406807011761445,0.17420887845054406,-0.9799848720696064,-0.0001949028754480997
5,0.2560202600793084,0.2099336607802863,-0.8618502661960886,0.8636110990710608,-0.07686332107921047,0.17251424991173211,-0.9582605242363554,0.8912771375248757
6,0.46134157705762213,0.14410441854198033,0.046587864361331555,0.9527769221685286,0.15406807011761445,0.17420887845054406,0.0001949028754480997,0.9799848720696064
7,0.2955983106512854,0.20546049024787136,-0.862055326348995,0.8615448954310069,-0.01785423471843291,0.17258181904165748,-0.9504008931888315,0.9020621056075775
8,-0.7036608595020304,0.12870720574676087,-0.9563946380382227,-0.1640391072827937,-0.46230782312883306,0.2447795735268275,-0.9788962999908243,-0.0012238250404463802
9,0.026088631306617125,0.24620422766245428,-0.863610036994667,0.8612843089301424,-0.3996196005233008,0.26005636991860626,-0.9723397633371221,0.9642638824281369
10,0.08171457205198421,0.25364090964670044,-0.8634708698038915,0.8611773973857311,-0.2803753644370229,0.2638054212876266,-0.9649151277342902,0.9142336913068236
11,0.7036608595020304,0.12870720574676087,0.1640391072827937,0.9563946380382227,0.46230782312883306,0.2447795735268275,0.0012238250404463802,0.9788962999908243
12,-0.04018767987261479,0.16705375165840197,-0.8624769113856865,0.8638770751470246,-0.07411688686848893,0.1685498924014159,-0.9604816692501772,0.9805669958728538
13,-0.2143895829980853,0.21228734172743333,-0.9678102463332238,-0.004790767391552042,-0.1399758720918379,0.18013674897894788,-0.9813034419281588,-0.00013277092229468934
14,0.2143895829980853,0.21228734172743333,0.004790767391552042,0.9678102463332238,0.1399758720918379,0.18013674897894788,0.00013277092229468934,0.9813034419281588
15,0.019622160386236345,0.15741928944508984,-0.8632962322325496,0.8634614232168918,0.018150094714567834,0.17592870037911057,-0.9530631752589904,0.9665080941972598
16,-0.21306875953832577,0.2096182975395518,-0.866901833674311,0.8634785032492427,-0.3477996486666406,0.26645355436988905,-0.9738293427742046,0.9736316729317058
17,-0.5929825781433609,0.20122475852918037,-0.9614951264312249,-0.05164401483311887,-0.467560880426877,0.25284984887977086,-0.9816324833313529,-0.0014352846514977813
18,-0.33039584636525793,0.27757156244544606,-0.9051152223813199,0.8632773202834854,-0.27431814879924965,0.28247946821162706,-0.9639087639512322,0.9660049686013911
19,0.5929825781433609,0.20122475852918037,0.05164401483311887,0.9614951264312249,0.467560880426877,0.25284984887977086,0.0014352846514977813,0.9816324833313529
20,-0.17617085348344041,0.19349706748773177,-0.8659276352340238,0.8621402120482987,-0.25491800760472405,0.25608768074201005,-0.9672874959339937,0.9551031664755236
21,-0.3441947325011225,0.2456031131490864,-0.8900237619457209,0.863100098308403,-0.2902017632146765,0.25163716800103086,-0.9648269062785453,0.9588583516981694
22,-0.5762617914785335,0.2081952645453838,-0.9700103610031012,-0.041327703523834525,-0.4592287110070432,0.25103208158943424,-0.9813721861759496,-0.0014194969099347032
23,0.5762617914785335,0.2081952645453838,0.041327703523834525,0.9700103610031012,0.4592287110070432,0.25103208158943424,0.0014194969099347032,0.9813721861759496
