wavelet_cluster,wavelet_size,wavelet_pct,best_raw_match,overlap_count,overlap_pct,regime
0,3302,20.15380859375,0,1227,37.15929739551787,bulk
1,3190,19.47021484375,3,1186,37.17868338557994,bulk
2,2385,14.556884765625,1,1443,60.503144654088054,transition
3,1606,9.80224609375,2,287,17.870485678704856,transition
4,562,3.43017578125,4,175,31.13879003558719,signal_island
5,455,2.777099609375,7,55,12.087912087912088,signal_island
6,2577,15.728759765625,6,106,4.113310050446255,bulk
7,2307,14.080810546875,5,338,14.651061985262245,transition
