cluster,size,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63
0,4103,0.03236123223051808,0.027989819439489076,0.028996362233035203,0.03010515256259512,0.029812936752165113,0.03177958909656082,0.032245147298966326,0.028357860273961456,0.027256300784076978,0.027135053344861007,0.029634797176820528,0.0294371643789465,0.03324986700432695,0.03507563743046909,0.033725158880232683,0.029421166945449845,0.029432886749335467,0.028600450484679487,0.030437518684550604,0.029390185996509794,0.028260749956176147,0.026631956838413868,0.02795784056602954,0.029161995124032978,0.0326778656441955,0.03281186467571627,0.035709370575211744,0.033900019166544164,0.03386583730281986,0.03804693564535857,0.04163266024276797,0.04086782582544474,0.03918403486018343,0.039753317575573134,0.03909111371408457,0.039655001687798466,0.03874603531768915,0.03818015704212396,0.03586518488214772,0.035055653879114045,0.03316727506148124,0.03235698379725733,0.03299696996073994,0.030395475190763258,0.02931371483728641,0.027338587641384644,0.026503974972552122,0.025865249462027163,0.026698721245905277,0.026367881173673783,0.02438631483837489,0.02504187466492877,0.027177731059080168,0.026436615885778468,0.025814423692720714,0.027279224289542537,0.02825173705588527,0.02934765660055514,0.029946981735614785,0.03256380413695113,0.035146215551097475,0.03738025975522578,0.03790152152227231,0.038630734005687686
1,4472,0.034130434560770154,0.029889122079029624,0.02928759894152907,0.030033904051537587,0.0290490245978878,0.03195663795414557,0.03126511860909477,0.0291090269437617,0.028469894553315677,0.030223774684902508,0.03278147328447159,0.03404957816350017,0.03657632609830899,0.037780425707861005,0.03648610263429804,0.035494462736935885,0.032814663309024945,0.02915655265099712,0.03176123296622815,0.03088005872577184,0.03049521721062256,0.029212839056599698,0.030116510346555866,0.028775100893191245,0.03281417889079713,0.036451096545374574,0.03784683181280914,0.03576848297600447,0.035745486973092135,0.03902367220847133,0.042110424775221596,0.043389945899344494,0.04154480012354234,0.0427568939933808,0.04416891167637045,0.04169901071234111,0.040071831061786245,0.03998799580134901,0.03864731919123816,0.0382368733881699,0.03662916996711605,0.034864728538858775,0.03434276881366467,0.034129264169121834,0.03257921092267361,0.028507595116208394,0.0278838579612304,0.026390957670506733,0.02785467010273341,0.02730510433708513,0.026299640072264863,0.027404985297221702,0.029244983796705717,0.027756728301821132,0.030541417010415697,0.030047549676199475,0.031502337655050075,0.02958167419765616,0.031740807011688445,0.033307391792962215,0.034758883764154425,0.03870940952953054,0.03950971303309622,0.03725646234716058
2,850,0.03231764190294855,0.027476254923181533,0.029066312694261624,0.02886088250518264,0.02929777828520269,0.03261818896332288,0.03144701034498754,0.029074085191469493,0.02770708069075219,0.02853476516605618,0.029889011408459912,0.03277234741108626,0.03414663768077047,0.036106653591312425,0.035252348844078386,0.03162955015954162,0.028067943287777022,0.02936858162439688,0.029542577087560383,0.028424248589001697,0.027270621347209156,0.026591610008804046,0.029167317558077176,0.03296889358227202,0.03267717290451357,0.037168368617040336,0.03725303722316799,0.035062968186915705,0.03416072146742622,0.0354948186314872,0.041232941610855146,0.039733920416717756,0.04042850931200689,0.042892668981880114,0.042600182202424626,0.042332083606815826,0.038382012155915884,0.03786503743246682,0.03682437126263493,0.03353477836963794,0.036057786888059884,0.03154665129352061,0.031042235296202116,0.03180970993635928,0.028997229460929436,0.030645115286883802,0.027371938569495432,0.028847638151964537,0.028541600165057173,0.0256490029595605,0.025035778456204708,0.024987955686992372,0.026535301109022292,0.027297559547990593,0.02694651157032813,0.029522451607413566,0.027353920837556337,0.028717671761805636,0.03142244422491551,0.03067820107324204,0.032334728875113225,0.035454066834927606,0.03843096679707753,0.035556655127821704
3,3619,0.029653796720323287,0.025935724282040398,0.027274154372963093,0.02787001661588518,0.027977417045889685,0.029271984177512502,0.028516768709317106,0.026094666468508224,0.026490420654762963,0.026646945084446434,0.02899945400015802,0.029818852291618847,0.03040116294190875,0.032560942298060405,0.03047531400784867,0.02886144382497787,0.028436016220193233,0.02738741698031083,0.027901192226100355,0.026728403062365777,0.027222191975848065,0.024874831084964053,0.025745500508636596,0.028912434511464895,0.030446149599671363,0.03205525808699045,0.033999611902205726,0.03310441480312703,0.031757603708306,0.03567022671202384,0.03953918424839579,0.041030010088605795,0.03859382674599439,0.03804058638262886,0.038394990691263974,0.03737065277828223,0.03647505624215145,0.03643604428639268,0.03427716183512761,0.033115978324399255,0.03186007125318827,0.03045081478596463,0.030489323528730326,0.028401539771821947,0.02592009458126422,0.02484323050683311,0.02554117675656693,0.025931199647699802,0.025742398892946893,0.025499622330648588,0.023290321403605364,0.023082456216424196,0.024547908455861404,0.023632272623450603,0.022777986793753882,0.025075532866634786,0.025681248893169965,0.02644629118399092,0.027278285287510105,0.030086535760403824,0.03328123791183617,0.03506172897572107,0.035865247358500614,0.03541504910641559
4,460,0.053836063460237775,0.05173461560892461,0.05316150308638821,0.05582740590934085,0.049068498221143744,0.051565135597066776,0.04728320070763362,0.04207059226103458,0.04400946053820734,0.049208720006488814,0.05042803957660536,0.056091759215912806,0.056739363449279476,0.05189954385812939,0.05322946491473021,0.050112231512419676,0.049187598672888376,0.04678559536488287,0.041995100371748195,0.04029054614315102,0.04144935200057482,0.04393916919659335,0.04860618447469158,0.04831232469445319,0.04916845830677949,0.05208726868458965,0.053538875247691096,0.052833562212066004,0.056725978776919296,0.05718041921245805,0.06514860467950441,0.06341686702086,0.059201865506361244,0.057480617913174305,0.05937402598497649,0.06439088633999801,0.06313565800880735,0.06315003212440916,0.056708249381717146,0.05400253252492511,0.050104663196199446,0.04926447739787696,0.044262249546472315,0.04581468426258365,0.04201095031845441,0.038082209523431054,0.03932881681438554,0.04056304794431543,0.0364524919624095,0.03265951374748807,0.03415327178839631,0.034161233602115294,0.03804584241931521,0.04211286001411263,0.04257028167281227,0.047093776488930844,0.050292942726318325,0.04937411215762812,0.04595936911285227,0.05042661580092134,0.05009906046391371,0.055764974967540716,0.060403722475843497,0.058980081910152735
5,1691,0.03338319323308538,0.029017516830176997,0.029796906345083786,0.030403545584370542,0.028942367243517893,0.030772653724113357,0.028246222217954944,0.029552144623636846,0.0283320699986349,0.02905378369877663,0.029590342441307555,0.03217178436784211,0.03392951203533074,0.03452251138391702,0.03245029371400894,0.02981473899178725,0.027429336880860383,0.026827701944414042,0.028808503141229666,0.02917827720578617,0.03036856929697435,0.027485309355194023,0.029934487628144768,0.0312276112715409,0.033251199439124815,0.03474124871876724,0.035417685662067634,0.03628436391219705,0.03441310315363254,0.03616818586085806,0.03922462894060326,0.040471059631483716,0.038536165895927156,0.041156776070231334,0.03956200187560385,0.03829770383112842,0.03448644259511165,0.03447046191042809,0.03773997809470106,0.03460201077825878,0.03219281751798305,0.031388320561633425,0.03214559604443868,0.029963977265516417,0.028403374052742514,0.027583828509587866,0.02926144488354597,0.027415104166952642,0.027852794983268505,0.028643181425962103,0.026379010877750797,0.02511378414687437,0.024437597312726874,0.02617717843929961,0.02769475670547025,0.02987116820486377,0.029315991661385824,0.029754627163586775,0.02896592076375563,0.03358893223959905,0.0348512904206613,0.0359190013513991,0.036570931926364514,0.03601850487209643
6,758,0.03168721566892284,0.026632283156881716,0.029873891308711268,0.03435349126400946,0.031184629713258007,0.031821426434456325,0.03150863829594917,0.03107018190137339,0.03216755621759075,0.03150491147463751,0.03606660847012591,0.035551345113781205,0.03525168930563859,0.038257681413196375,0.03822475070991806,0.035685188520633564,0.03482624015182053,0.03193368499462431,0.031543972153606055,0.02943328543062404,0.029993840920866165,0.028766843096311088,0.030385030273368002,0.03429114067227335,0.03660775712404565,0.03751180861910776,0.03676258577553766,0.03467985660403934,0.03713088735310249,0.039914844999494783,0.04166213440651223,0.04220410562311592,0.04320215116998254,0.04778094651695719,0.04683456199550609,0.0420013227331641,0.040809749014081124,0.039073239073532905,0.03571072694020221,0.03624638485197289,0.03653486362297838,0.0348246157481799,0.034397998287917994,0.03086723444818016,0.02733982906018682,0.027851116997181635,0.02892867286225657,0.030300649657746544,0.02955718434248333,0.03205781212810204,0.029864250473199003,0.02995857708328393,0.030184582863217034,0.03166523201472013,0.030274267979215674,0.0322838487349754,0.03403244375914318,0.03449332135307,0.03744550588486259,0.03991286508328328,0.03810141442344555,0.03846188566547441,0.04121920428405081,0.03528744300874657
7,431,0.04316337003503418,0.038298403446082804,0.04177175765914688,0.04237117452046951,0.04132506808667335,0.04728095069746501,0.044101038555869186,0.040747342237506055,0.03884208438234499,0.044041046860465095,0.04134140367508235,0.04117360556963875,0.0447907851291115,0.04465912590575566,0.04866471273444918,0.04764415162240009,0.04739210102498099,0.04803445172557722,0.0477531518516375,0.042807272074144545,0.04099934409694749,0.04196708644815445,0.04530052234504176,0.04910699232216234,0.0557667438740877,0.05918181170528853,0.054957095345853545,0.05338836995813952,0.05442923554414186,0.052885749016390454,0.05869544858722633,0.06030775922905081,0.06300498239572225,0.06200007386079113,0.06296502120152218,0.0623610994675759,0.05788698036124977,0.05487874082126761,0.053150758560896176,0.05232646428021716,0.05325533354111695,0.048569354670627965,0.043093399493014384,0.05063150378801207,0.0474913582483027,0.04954742837437553,0.052563320203512155,0.046245440240481384,0.043918274943160966,0.03384760278398683,0.032125140122001496,0.03516421008096304,0.039395489437033984,0.038716012830185983,0.03562471271426344,0.04037989082450518,0.039927892969931995,0.03946057752331783,0.04186813268085496,0.04055647275610772,0.04696564313970105,0.05408847182139326,0.051294637767887084,0.05298237792142995
