cluster,size,pct_total,mean_l2,max_l2,centroid_magnitude
0,3302,20.15380859375,2.8855874480888764,3.3232146347749767,1.7085126926386511
1,3190,19.47021484375,1.3894857478407867,2.5049130526978844,2.9412247768416617
2,2385,14.556884765625,5.457882851329783,5.954971495045925,4.2833160636622605
3,1606,9.80224609375,2.5577468335463642,3.463802557246741,3.249071324545896
4,562,3.43017578125,7.856128051752224,8.94008219946014,9.667088764306987
5,455,2.777099609375,7.911455273811643,8.891462920127907,9.80693665495239
6,2577,15.728759765625,3.58798805047692,4.155613389814457,3.1815636494871513
7,2307,14.080810546875,3.2991417746924934,3.8339564739956766,4.187384700948927
