run,cluster,size,pct,inter_class_variance,regime,normalized_variance
wavelet,0,5009,30.572509765625,1.3982772524674614e-05,bulk,1.0
wavelet,1,4937,30.133056640625,5.71097124494633e-06,bulk,0.4084291033747777
wavelet,2,5211,31.805419921875,1.1738605041072865e-05,bulk,0.8395048278414318
wavelet,3,617,3.765869140625,9.775835979897133e-05,signal_island,6.991343070658028
wavelet,4,610,3.72314453125,0.00012324957448805188,signal_island,8.81438743786758
raw,0,6987,42.645263671875,4.022182079582203e-06,bulk,0.2876526863670623
raw,1,6369,38.873291015625,1.23404111787519e-05,bulk,0.8825439416235563
raw,2,555,3.387451171875,0.0006873869533164073,signal_island,49.15956060240657
raw,3,1267,7.733154296875,2.661629891177369e-05,transition,1.903506537405611
raw,4,1206,7.36083984375,6.185459960292644e-05,transition,4.423629111735537
