cluster,size,D1,D2,D3,D4,D5,D6,A6
0,5009,0.061803278131824374,0.1688304196713829,0.28891999420913317,0.3700116946098698,0.44593095231586094,0.5087509718772568,0.5112184689230136
1,4937,0.07008565084065828,0.18654843410728375,0.31543133107460897,0.3841585547971703,0.42628397706099214,0.4485083653964955,0.44032173900415333
2,5211,0.07527938650852689,0.16711040180254744,0.2367181599878299,0.27280330778359635,0.3055157274397871,0.33600860063803106,0.39942675622484747
3,617,0.16990441210590196,0.31984733639127355,0.39604486976579273,0.4358308119111834,0.527255785791848,0.7150824079065937,0.8181724532111315
4,610,0.15955789782710142,0.3029712850133368,0.39377879445896047,0.44550966443036644,0.5329439477861964,0.7219577435616908,0.8256755584729192
