,K8_0,K8_1,K8_2,K8_3,K8_4,K8_5,K8_6,K8_7
K5_0,2402,4463,0,0,0,0,0,122
K5_1,1618,0,0,3619,2,1040,0,90
K5_2,1,0,1,0,455,7,1,90
K5_3,37,6,848,0,3,342,7,24
K5_4,45,3,1,0,0,302,750,105
