cluster_set,physical_axis,eta_squared,f_statistic,p_value,aggregation
wavelet_k5,mean_flux,0.12460042337406012,582.8282275134627,0.0,class_averaged
wavelet_k5,mean_flux,0.13127730068554838,618.7794188022932,0.0,class_1
wavelet_k5,mean_flux,0.09015896361953982,405.76144790059334,0.0,class_2
wavelet_k5,mean_flux,0.06823739049294737,299.8779430190072,2.363940951589202e-249,class_3
wavelet_k5,mean_flux,0.05168233850104522,223.15966913728926,7.781951061629699e-187,class_4
wavelet_k5,integrated_tau,0.0025881099663428065,10.625162373314593,1.3468393052816749e-08,class_averaged
wavelet_k5,integrated_tau,0.0004382346129100615,1.7952479209912056,0.12668345678142895,class_1
wavelet_k5,integrated_tau,0.0024194626723559056,9.931122758437972,5.04358709389113e-08,class_2
wavelet_k5,integrated_tau,0.002593404178311778,10.646953613128735,1.2920660748180557e-08,class_3
wavelet_k5,integrated_tau,0.0008755415183430049,3.5882653074905564,0.006264297366653996,class_4
wavelet_k5,line_count,0.0053334656509453,21.956311708527178,4.266145726752629e-18,class_averaged
wavelet_k5,line_count,0.0007124079361745376,2.9192120664942376,0.019952614936776206,class_1
wavelet_k5,line_count,0.001037441967929333,4.252477196489926,0.001931116943732083,class_2
wavelet_k5,line_count,0.0034443630815802566,14.152552256804238,1.5629318414242547e-11,class_3
wavelet_k5,line_count,0.049448703004941676,213.0133084553959,1.73508951185716e-178,class_4
raw_k5,mean_flux,0.05703292303485298,247.66035559647776,6.451245711482121e-207,class_averaged
raw_k5,mean_flux,0.01953756021897872,81.59560372810898,1.0732213144562045e-68,class_1
raw_k5,mean_flux,0.12167971801897084,567.2737332609398,0.0,class_2
raw_k5,mean_flux,0.02999984473212643,126.64107685936526,1.1476979100886273e-106,class_3
raw_k5,mean_flux,0.01531113092141278,63.670114803999304,1.6753666072985456e-53,class_4
raw_k5,integrated_tau,0.0029196077226352154,11.990070023295504,9.934621204360428e-10,class_averaged
raw_k5,integrated_tau,0.0008766395574145127,3.5927693914923293,0.00621500279791094,class_1
raw_k5,integrated_tau,0.002802671897503152,11.508495288629021,2.495856362173361e-09,class_2
raw_k5,integrated_tau,0.0035351658478104723,14.526975623417808,7.59930283322136e-12,class_3
raw_k5,integrated_tau,0.0005824581136992574,2.3864103451381777,0.048862194593677,class_4
raw_k5,line_count,0.006661559338461401,27.4603488444469,9.388320278788454e-23,class_averaged
raw_k5,line_count,0.0023491937043202743,9.642011874357689,8.731379704806138e-08,class_1
raw_k5,line_count,0.0021177177196570873,8.68992744590059,5.290471080393486e-07,class_2
raw_k5,line_count,0.001774288000441561,7.27817937614025,7.4998341131682726e-06,class_3
raw_k5,line_count,0.03981369522612838,169.78697541992426,1.0352537165578218e-142,class_4
