feedback_class,class_name,median_ew_angstrom,p25_ew_angstrom,p75_ew_angstrom,n_lines
1,NoFeedback,0.0010554277683324019,0.00032289130047989916,0.004870915371712799,846988
2,StellarWind,0.0010970344278684232,0.0003301795337908841,0.0053158436042085935,846964
3,WindAGN,0.0011451750104288765,0.00034068802900352215,0.005578669296641516,823104
4,WindStrongAGN,0.001160672348718022,0.00034885389929180795,0.0051322720420899,612145
