feedback_class,class_name,median_lines_per_angstrom,p25_lines_per_angstrom,p75_lines_per_angstrom,mean_lines_per_angstrom,n_sightlines
1,NoFeedback,1.7763288494417713,1.6370089396816323,1.950478736641945,1.8005720783679282,16384
2,StellarWind,1.7763288494417713,1.6370089396816323,1.950478736641945,1.8005210578931625,16384
3,WindAGN,1.7414988720017366,1.6021789622415976,1.8808187817618756,1.7497982025636198,16384
4,WindStrongAGN,1.288709165281285,1.1493892555211462,1.4628590524814586,1.3013303552264441,16384
