feedback_class,class_name,line_density_center_lines_per_angstrom,density,count
1,NoFeedback,0.6014869180990614,0.0,0
1,NoFeedback,1.1078612054964894,0.01788330078125,293
1,NoFeedback,1.6142354928939175,0.62188720703125,10189
1,NoFeedback,2.1206097802913453,0.34698486328125,5685
1,NoFeedback,2.626984067688774,0.01312255859375,215
1,NoFeedback,3.1333583550862016,0.0001220703125,2
1,NoFeedback,3.6397326424836294,0.0,0
1,NoFeedback,4.146106929881058,0.0,0
1,NoFeedback,4.652481217278486,0.0,0
1,NoFeedback,5.158855504675914,0.0,0
1,NoFeedback,5.665229792073342,0.0,0
1,NoFeedback,6.17160407947077,0.0,0
1,NoFeedback,6.677978366868198,0.0,0
1,NoFeedback,7.184352654265626,0.0,0
1,NoFeedback,7.690726941663055,0.0,0
1,NoFeedback,8.197101229060483,0.0,0
1,NoFeedback,8.70347551645791,0.0,0
1,NoFeedback,9.209849803855338,0.0,0
1,NoFeedback,9.716224091252766,0.0,0
1,NoFeedback,10.222598378650195,0.0,0
1,NoFeedback,10.728972666047623,0.0,0
1,NoFeedback,11.23534695344505,0.0,0
1,NoFeedback,11.741721240842478,0.0,0
1,NoFeedback,12.248095528239906,0.0,0
1,NoFeedback,12.754469815637336,0.0,0
1,NoFeedback,13.260844103034763,0.0,0
1,NoFeedback,13.767218390432191,0.0,0
1,NoFeedback,14.273592677829619,0.0,0
1,NoFeedback,14.779966965227047,0.0,0
1,NoFeedback,15.286341252624474,0.0,0
1,NoFeedback,15.792715540021906,0.0,0
1,NoFeedback,16.299089827419333,0.0,0
1,NoFeedback,16.80546411481676,0.0,0
1,NoFeedback,17.31183840221419,0.0,0
1,NoFeedback,17.818212689611617,0.0,0
1,NoFeedback,18.324586977009044,0.0,0
1,NoFeedback,18.830961264406472,0.0,0
1,NoFeedback,19.3373355518039,0.0,0
1,NoFeedback,19.843709839201328,0.0,0
2,StellarWind,0.6014869180990614,0.0,0
2,StellarWind,1.1078612054964894,0.02032470703125,333
2,StellarWind,1.6142354928939175,0.62030029296875,10163
2,StellarWind,2.1206097802913453,0.34539794921875,5659
2,StellarWind,2.626984067688774,0.01312255859375,215
2,StellarWind,3.1333583550862016,0.0003662109375,6
2,StellarWind,3.6397326424836294,0.0001220703125,2
2,StellarWind,4.146106929881058,0.0001220703125,2
2,StellarWind,4.652481217278486,0.0,0
2,StellarWind,5.158855504675914,0.0,0
2,StellarWind,5.665229792073342,0.0,0
2,StellarWind,6.17160407947077,0.0,0
2,StellarWind,6.677978366868198,6.103515625e-05,1
2,StellarWind,7.184352654265626,0.0,0
2,StellarWind,7.690726941663055,6.103515625e-05,1
2,StellarWind,8.197101229060483,0.0,0
2,StellarWind,8.70347551645791,0.0,0
2,StellarWind,9.209849803855338,0.0,0
2,StellarWind,9.716224091252766,6.103515625e-05,1
2,StellarWind,10.222598378650195,0.0,0
2,StellarWind,10.728972666047623,0.0,0
2,StellarWind,11.23534695344505,0.0,0
2,StellarWind,11.741721240842478,0.0,0
2,StellarWind,12.248095528239906,0.0,0
2,StellarWind,12.754469815637336,0.0,0
2,StellarWind,13.260844103034763,0.0,0
2,StellarWind,13.767218390432191,0.0,0
2,StellarWind,14.273592677829619,0.0,0
2,StellarWind,14.779966965227047,0.0,0
2,StellarWind,15.286341252624474,0.0,0
2,StellarWind,15.792715540021906,0.0,0
2,StellarWind,16.299089827419333,0.0,0
2,StellarWind,16.80546411481676,0.0,0
2,StellarWind,17.31183840221419,0.0,0
2,StellarWind,17.818212689611617,0.0,0
2,StellarWind,18.324586977009044,0.0,0
2,StellarWind,18.830961264406472,0.0,0
2,StellarWind,19.3373355518039,0.0,0
2,StellarWind,19.843709839201328,6.103515625e-05,1
3,WindAGN,0.6014869180990614,0.0,0
3,WindAGN,1.1078612054964894,0.0335693359375,550
3,WindAGN,1.6142354928939175,0.68499755859375,11223
3,WindAGN,2.1206097802913453,0.2738037109375,4486
3,WindAGN,2.626984067688774,0.00714111328125,117
3,WindAGN,3.1333583550862016,0.000244140625,4
3,WindAGN,3.6397326424836294,6.103515625e-05,1
3,WindAGN,4.146106929881058,6.103515625e-05,1
3,WindAGN,4.652481217278486,6.103515625e-05,1
3,WindAGN,5.158855504675914,0.0,0
3,WindAGN,5.665229792073342,0.0,0
3,WindAGN,6.17160407947077,0.0,0
3,WindAGN,6.677978366868198,0.0,0
3,WindAGN,7.184352654265626,6.103515625e-05,1
3,WindAGN,7.690726941663055,0.0,0
3,WindAGN,8.197101229060483,0.0,0
3,WindAGN,8.70347551645791,0.0,0
3,WindAGN,9.209849803855338,0.0,0
3,WindAGN,9.716224091252766,0.0,0
3,WindAGN,10.222598378650195,0.0,0
3,WindAGN,10.728972666047623,0.0,0
3,WindAGN,11.23534695344505,0.0,0
3,WindAGN,11.741721240842478,0.0,0
3,WindAGN,12.248095528239906,0.0,0
3,WindAGN,12.754469815637336,0.0,0
3,WindAGN,13.260844103034763,0.0,0
3,WindAGN,13.767218390432191,0.0,0
3,WindAGN,14.273592677829619,0.0,0
3,WindAGN,14.779966965227047,0.0,0
3,WindAGN,15.286341252624474,0.0,0
3,WindAGN,15.792715540021906,0.0,0
3,WindAGN,16.299089827419333,0.0,0
3,WindAGN,16.80546411481676,0.0,0
3,WindAGN,17.31183840221419,0.0,0
3,WindAGN,17.818212689611617,0.0,0
3,WindAGN,18.324586977009044,0.0,0
3,WindAGN,18.830961264406472,0.0,0
3,WindAGN,19.3373355518039,0.0,0
3,WindAGN,19.843709839201328,0.0,0
4,WindStrongAGN,0.6014869180990614,0.03125,512
4,WindStrongAGN,1.1078612054964894,0.59539794921875,9755
4,WindStrongAGN,1.6142354928939175,0.3612060546875,5918
4,WindStrongAGN,2.1206097802913453,0.01177978515625,193
4,WindStrongAGN,2.626984067688774,0.000244140625,4
4,WindStrongAGN,3.1333583550862016,0.0,0
4,WindStrongAGN,3.6397326424836294,6.103515625e-05,1
4,WindStrongAGN,4.146106929881058,0.0,0
4,WindStrongAGN,4.652481217278486,6.103515625e-05,1
4,WindStrongAGN,5.158855504675914,0.0,0
4,WindStrongAGN,5.665229792073342,0.0,0
4,WindStrongAGN,6.17160407947077,0.0,0
4,WindStrongAGN,6.677978366868198,0.0,0
4,WindStrongAGN,7.184352654265626,0.0,0
4,WindStrongAGN,7.690726941663055,0.0,0
4,WindStrongAGN,8.197101229060483,0.0,0
4,WindStrongAGN,8.70347551645791,0.0,0
4,WindStrongAGN,9.209849803855338,0.0,0
4,WindStrongAGN,9.716224091252766,0.0,0
4,WindStrongAGN,10.222598378650195,0.0,0
4,WindStrongAGN,10.728972666047623,0.0,0
4,WindStrongAGN,11.23534695344505,0.0,0
4,WindStrongAGN,11.741721240842478,0.0,0
4,WindStrongAGN,12.248095528239906,0.0,0
4,WindStrongAGN,12.754469815637336,0.0,0
4,WindStrongAGN,13.260844103034763,0.0,0
4,WindStrongAGN,13.767218390432191,0.0,0
4,WindStrongAGN,14.273592677829619,0.0,0
4,WindStrongAGN,14.779966965227047,0.0,0
4,WindStrongAGN,15.286341252624474,0.0,0
4,WindStrongAGN,15.792715540021906,0.0,0
4,WindStrongAGN,16.299089827419333,0.0,0
4,WindStrongAGN,16.80546411481676,0.0,0
4,WindStrongAGN,17.31183840221419,0.0,0
4,WindStrongAGN,17.818212689611617,0.0,0
4,WindStrongAGN,18.324586977009044,0.0,0
4,WindStrongAGN,18.830961264406472,0.0,0
4,WindStrongAGN,19.3373355518039,0.0,0
4,WindStrongAGN,19.843709839201328,0.0,0
